feature,avg_importance,rank
Bollinger_5_1,0.296772,1
stddev,0.227118,2
Bollinger_5_1.5__AND__EMA_5_13,0.162192,3
range,0.158641,4
EMA_30_70__AND__ADX_14,0.155828,5
MACD_24_48_18__AND__ADX_14,0.154776,6
EMA_24_56__AND__ADX_14,0.152296,7
EMA_30_70__AND__ADX_20,0.14741,8
Bollinger_5_1.5__AND__EMA_18_42,0.135451,9
MACD_4_8_3__AND__Bollinger_10_1,0.134862,10
MACD_8_16_6__AND__ADX_20,0.133813,11
Bollinger_25_1__AND__EMA_5_13,0.13176,12
Bollinger_30_1__AND__EMA_9_21,0.129309,13
EMA_5_13__AND__RSI_10_70_30_REV,0.122803,14
Bollinger_15_1__AND__EMA_24_56,0.113664,15
Bollinger_15_1__AND__RSI_5_70_30_REV,0.109949,16
RSI_5_70_30_REV,0.108894,17
RSI_5_80_20,0.108336,18
MACD_8_16_6__AND__Bollinger_5_1.5,0.104054,19
RSI_5_70_30__AND__RSI_5_80_20,0.103386,20
Bollinger_5_1.5,0.101824,21
EMA_5_13__AND__ADX_20,0.10182,22
Bollinger_5_1__AND__Bollinger_5_1.5,0.101758,23
MACD_24_48_18__AND__Bollinger_25_1,0.100592,24
RSI_5_70_30__AND__MACD_20_40_15,0.099107,25
Bollinger_10_1,0.098961,26
mad,0.098,27
Bollinger_30_1__AND__EMA_12_28,0.097898,28
MACD_4_8_3__AND__EMA_15_35,0.097588,29
Bollinger_30_1__AND__EMA_15_35,0.097242,30
MACD_8_16_6__AND__EMA_27_63,0.096876,31
Bollinger_5_1__AND__EMA_21_49,0.096422,32
Bollinger_5_1__AND__ADX_20,0.096187,33
EMA_5_13__AND__EMA_12_28,0.093308,34
EMA_30_70__AND__RSI_5_70_30_REV,0.092733,35
ADX_14__AND__ADX_20,0.089358,36
Bollinger_20_1__AND__EMA_21_49,0.089348,37
MACD_8_16_6__AND__MACD_24_48_18,0.087962,38
EMA_9_21__AND__EMA_12_28,0.086908,39
EMA_12_28__AND__ADX_20,0.086785,40
MACD_4_8_3__AND__MACD_16_32_12,0.086421,41
Bollinger_10_1__AND__EMA_15_35,0.086154,42
EMA_15_35__AND__ADX_14,0.08606,43
MACD_4_8_3__AND__Bollinger_30_1,0.084848,44
EMA_12_28__AND__EMA_30_70,0.08437,45
R1,0.083676,46
Bollinger_10_2__AND__EMA_24_56,0.083289,47
MACD_20_40_15__AND__EMA_15_35,0.083177,48
Bollinger_30_1__AND__EMA_27_63,0.080557,49
EMA_15_35__AND__EMA_30_70,0.080175,50
