Date,Close
17-Jun-2019,11672.15
18-Jun-2019,11691.5
19-Jun-2019,11691.45
20-Jun-2019,11831.75
21-Jun-2019,11724.1
24-Jun-2019,11699.65
25-Jun-2019,11796.45
26-Jun-2019,11847.55
27-Jun-2019,11841.55
28-Jun-2019,11788.85
01-Jul-2019,11865.6
02-Jul-2019,11910.3
03-Jul-2019,11916.75
04-Jul-2019,11946.75
05-Jul-2019,11811.15
08-Jul-2019,11558.6
09-Jul-2019,11555.9
10-Jul-2019,11498.9
11-Jul-2019,11582.9
12-Jul-2019,11552.5
15-Jul-2019,11588.35
16-Jul-2019,11662.6
17-Jul-2019,11687.5
18-Jul-2019,11596.9
19-Jul-2019,11419.25
22-Jul-2019,11346.2
23-Jul-2019,11331.05
24-Jul-2019,11271.3
25-Jul-2019,11252.15
26-Jul-2019,11284.3
29-Jul-2019,11189.2
30-Jul-2019,11085.4
31-Jul-2019,11118
01-Aug-2019,10980
02-Aug-2019,10997.35
05-Aug-2019,10862.6
06-Aug-2019,10948.25
07-Aug-2019,10855.5
08-Aug-2019,11032.45
09-Aug-2019,11109.65
13-Aug-2019,10925.85
14-Aug-2019,11029.4
16-Aug-2019,11047.8
19-Aug-2019,11053.9
20-Aug-2019,11017
21-Aug-2019,10918.7
22-Aug-2019,10741.35
23-Aug-2019,10829.35
26-Aug-2019,11057.85
27-Aug-2019,11105.35
28-Aug-2019,11046.1
29-Aug-2019,10948.3
30-Aug-2019,11023.25
03-Sep-2019,10797.9
04-Sep-2019,10844.65
05-Sep-2019,10847.9
06-Sep-2019,10946.2
09-Sep-2019,11003.05
11-Sep-2019,11035.7
12-Sep-2019,10982.8
13-Sep-2019,11075.9
16-Sep-2019,11003.5
17-Sep-2019,10817.6
18-Sep-2019,10840.65
19-Sep-2019,10704.8
20-Sep-2019,11274.2
23-Sep-2019,11600.2
24-Sep-2019,11588.2
25-Sep-2019,11440.2
26-Sep-2019,11571.2
27-Sep-2019,11512.4
30-Sep-2019,11474.45
01-Oct-2019,11359.9
03-Oct-2019,11314
04-Oct-2019,11174.75
07-Oct-2019,11126.4
09-Oct-2019,11313.3
10-Oct-2019,11234.55
11-Oct-2019,11305.05
14-Oct-2019,11341.15
15-Oct-2019,11428.3
16-Oct-2019,11464
17-Oct-2019,11586.35
18-Oct-2019,11661.85
22-Oct-2019,11588.35
23-Oct-2019,11604.1
24-Oct-2019,11582.6
25-Oct-2019,11583.9
27-Oct-2019,11627.15
29-Oct-2019,11786.85
30-Oct-2019,11844.1
31-Oct-2019,11877.45
01-Nov-2019,11890.6
04-Nov-2019,11941.3
05-Nov-2019,11917.2
06-Nov-2019,11966.05
07-Nov-2019,12012.05
08-Nov-2019,11908.15
11-Nov-2019,11913.45
13-Nov-2019,11840.45
14-Nov-2019,11872.1
15-Nov-2019,11895.45
18-Nov-2019,11884.5
19-Nov-2019,11940.1
20-Nov-2019,11999.1
21-Nov-2019,11968.4
22-Nov-2019,11914.4
25-Nov-2019,12073.75
26-Nov-2019,12037.7
27-Nov-2019,12100.7
28-Nov-2019,12151.15
29-Nov-2019,12056.05
02-Dec-2019,12048.2
03-Dec-2019,11994.2
04-Dec-2019,12043.2
05-Dec-2019,12018.4
06-Dec-2019,11921.5
09-Dec-2019,11937.5
10-Dec-2019,11856.8
11-Dec-2019,11910.15
12-Dec-2019,11971.8
13-Dec-2019,12086.7
16-Dec-2019,12053.95
17-Dec-2019,12165
18-Dec-2019,12221.65
19-Dec-2019,12259.7
20-Dec-2019,12271.8
23-Dec-2019,12262.75
24-Dec-2019,12214.55
26-Dec-2019,12126.55
27-Dec-2019,12245.8
30-Dec-2019,12255.85
31-Dec-2019,12168.45
01-Jan-2020,12182.5
02-Jan-2020,12282.2
03-Jan-2020,12226.65
06-Jan-2020,11993.05
07-Jan-2020,12052.95
08-Jan-2020,12025.35
09-Jan-2020,12215.9
10-Jan-2020,12256.8
13-Jan-2020,12329.55
14-Jan-2020,12362.3
15-Jan-2020,12343.3
16-Jan-2020,12355.5
17-Jan-2020,12352.35
20-Jan-2020,12224.55
21-Jan-2020,12169.85
22-Jan-2020,12106.9
23-Jan-2020,12180.35
24-Jan-2020,12248.25
27-Jan-2020,12119
28-Jan-2020,12055.8
29-Jan-2020,12129.5
30-Jan-2020,12035.8
31-Jan-2020,11962.1
01-Feb-2020,11661.85
03-Feb-2020,11707.9
04-Feb-2020,11979.65
05-Feb-2020,12089.15
06-Feb-2020,12137.95
07-Feb-2020,12098.35
10-Feb-2020,12031.5
11-Feb-2020,12107.9
12-Feb-2020,12201.2
13-Feb-2020,12174.65
14-Feb-2020,12113.45
17-Feb-2020,12045.8
18-Feb-2020,11992.5
19-Feb-2020,12125.9
20-Feb-2020,12080.85
24-Feb-2020,11829.4
25-Feb-2020,11797.9
26-Feb-2020,11678.5
27-Feb-2020,11633.3
28-Feb-2020,11201.75
02-Mar-2020,11132.75
03-Mar-2020,11303.3
04-Mar-2020,11251
05-Mar-2020,11269
06-Mar-2020,10989.45
09-Mar-2020,10451.45
11-Mar-2020,10458.4
12-Mar-2020,9590.15
13-Mar-2020,9955.2
16-Mar-2020,9197.4
17-Mar-2020,8967.05
18-Mar-2020,8468.8
19-Mar-2020,8263.45
20-Mar-2020,8745.45
23-Mar-2020,7610.25
24-Mar-2020,7801.05
25-Mar-2020,8317.85
26-Mar-2020,8641.45
27-Mar-2020,8660.25
30-Mar-2020,8281.1
31-Mar-2020,8597.75
01-Apr-2020,8253.8
03-Apr-2020,8083.8
07-Apr-2020,8792.2
08-Apr-2020,8748.75
09-Apr-2020,9111.9
13-Apr-2020,8993.85
15-Apr-2020,8925.3
16-Apr-2020,8992.8
17-Apr-2020,9266.75
20-Apr-2020,9261.85
21-Apr-2020,8981.45
22-Apr-2020,9187.3
23-Apr-2020,9313.9
24-Apr-2020,9154.4
27-Apr-2020,9282.3
28-Apr-2020,9380.9
29-Apr-2020,9553.35
30-Apr-2020,9859.9
04-May-2020,9293.5
05-May-2020,9205.6
06-May-2020,9270.9
07-May-2020,9199.05
08-May-2020,9251.5
11-May-2020,9239.2
12-May-2020,9196.55
13-May-2020,9383.55
14-May-2020,9142.75
15-May-2020,9136.85
18-May-2020,8823.25
19-May-2020,8879.1
20-May-2020,9066.55
21-May-2020,9106.25
22-May-2020,9039.25
26-May-2020,9029.05
27-May-2020,9314.95
28-May-2020,9490.1
29-May-2020,9580.3
01-Jun-2020,9826.15
02-Jun-2020,9979.1
03-Jun-2020,10061.55
04-Jun-2020,10029.1
05-Jun-2020,10142.15
08-Jun-2020,10167.45
