date,time,strategy,action,symbol,strikePrice,price
24-Jun-2020,10:35,bb1sd,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,stochastic,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,combination,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,bb1sd,Sell,CALL,10550,59.2
24-Jun-2020,10:35,stochastic,Sell,CALL,10550,59.2
24-Jun-2020,10:35,combination,Sell,CALL,10550,59.2
24-Jun-2020,10:35,bb1sd,Buy,PUT,10500,67
24-Jun-2020,10:35,bb2sd,Buy,PUT,10500,67
24-Jun-2020,10:35,stochastic,Buy,PUT,10500,67
24-Jun-2020,10:35,combination,Buy,PUT,10500,67
24-Jun-2020,10:36,bb1sd,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,bb2sd,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,stochastic,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,combination,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,bb1sd,Sell,CALL,10550,56.45
24-Jun-2020,10:36,bb2sd,Sell,CALL,10550,56.45
24-Jun-2020,10:36,stochastic,Sell,CALL,10550,56.45
24-Jun-2020,10:36,combination,Sell,CALL,10550,56.45
24-Jun-2020,10:36,bb1sd,Buy,PUT,10500,68.3
24-Jun-2020,10:36,bb2sd,Buy,PUT,10500,68.3
24-Jun-2020,10:36,stochastic,Buy,PUT,10500,68.3
24-Jun-2020,10:36,combination,Buy,PUT,10500,68.3
24-Jun-2020,10:37,bb1sd,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,stochastic,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,combination,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,bb1sd,Sell,CALL,10550,53.5
24-Jun-2020,10:37,bb2sd,Sell,CALL,10550,53.5
24-Jun-2020,10:37,stochastic,Sell,CALL,10550,53.5
24-Jun-2020,10:37,combination,Sell,CALL,10550,53.5
24-Jun-2020,10:37,bb1sd,Buy,PUT,10500,71.15
24-Jun-2020,10:37,bb2sd,Buy,PUT,10500,71.15
24-Jun-2020,10:37,stochastic,Buy,PUT,10500,71.15
24-Jun-2020,10:37,combination,Buy,PUT,10500,71.15
24-Jun-2020,10:37,bb2sd,Sell,NIFTY,,10522.75
24-Jun-2020,10:38,bb1sd,Sell,NIFTY,,10524.2
24-Jun-2020,10:38,bb2sd,Sell,NIFTY,,10524.2
24-Jun-2020,10:38,stochastic,Sell,NIFTY,,10524.2
24-Jun-2020,10:38,combination,Sell,NIFTY,,10524.2
24-Jun-2020,10:38,bb1sd,Sell,CALL,10550,54.25
24-Jun-2020,10:38,bb2sd,Sell,CALL,10550,54.25
24-Jun-2020,10:38,stochastic,Sell,CALL,10550,54.25
24-Jun-2020,10:38,combination,Sell,CALL,10550,54.25
24-Jun-2020,10:38,bb1sd,Buy,PUT,10500,71.25
24-Jun-2020,10:38,bb2sd,Buy,PUT,10500,71.25
24-Jun-2020,10:38,stochastic,Buy,PUT,10500,71.25
24-Jun-2020,10:38,combination,Buy,PUT,10500,71.25
24-Jun-2020,10:39,bb1sd,Sell,NIFTY,,10525
24-Jun-2020,10:39,stochastic,Sell,NIFTY,,10525
24-Jun-2020,10:39,combination,Sell,NIFTY,,10525
24-Jun-2020,10:39,bb1sd,Sell,CALL,10550,55.25
24-Jun-2020,10:39,stochastic,Sell,CALL,10550,55.25
24-Jun-2020,10:39,combination,Sell,CALL,10550,55.25
24-Jun-2020,10:39,bb1sd,Buy,PUT,10500,70.2
24-Jun-2020,10:39,stochastic,Buy,PUT,10500,70.2
24-Jun-2020,10:39,combination,Buy,PUT,10500,70.2
24-Jun-2020,10:40,bb1sd,Sell,NIFTY,,10522.85
24-Jun-2020,10:40,stochastic,Sell,NIFTY,,10522.85
24-Jun-2020,10:40,combination,Sell,NIFTY,,10522.85
24-Jun-2020,10:40,sma5,Sell,CALL,10550,54.65
24-Jun-2020,10:40,bb1sd,Sell,CALL,10550,54.65
24-Jun-2020,10:40,stochastic,Sell,CALL,10550,54.65
24-Jun-2020,10:40,combination,Sell,CALL,10550,54.65
24-Jun-2020,10:40,sma5,Buy,PUT,10500,72.5
24-Jun-2020,10:40,bb1sd,Buy,PUT,10500,72.5
24-Jun-2020,10:40,bb2sd,Buy,PUT,10500,72.5
24-Jun-2020,10:40,stochastic,Buy,PUT,10500,72.5
24-Jun-2020,10:40,combination,Buy,PUT,10500,72.5
24-Jun-2020,10:41,sma5,Sell,NIFTY,,10516.8
24-Jun-2020,10:41,bb1sd,Sell,NIFTY,,10516.8
24-Jun-2020,10:41,bb2sd,Sell,NIFTY,,10516.8
24-Jun-2020,10:41,stochastic,Sell,NIFTY,,10516.8
24-Jun-2020,10:41,combination,Sell,NIFTY,,10516.8
24-Jun-2020,10:41,sma5,Sell,CALL,10550,53.4
24-Jun-2020,10:41,bb1sd,Sell,CALL,10550,53.4
24-Jun-2020,10:41,stochastic,Sell,CALL,10550,53.4
24-Jun-2020,10:41,combination,Sell,CALL,10550,53.4
24-Jun-2020,10:41,bb1sd,Buy,PUT,10500,73.15
24-Jun-2020,10:41,bb2sd,Buy,PUT,10500,73.15
24-Jun-2020,10:41,stochastic,Buy,PUT,10500,73.15
24-Jun-2020,10:41,combination,Buy,PUT,10500,73.15
24-Jun-2020,10:42,bb1sd,Sell,NIFTY,,10509.9
24-Jun-2020,10:42,bb2sd,Sell,NIFTY,,10509.9
24-Jun-2020,10:42,stochastic,Sell,NIFTY,,10509.9
24-Jun-2020,10:42,combination,Sell,NIFTY,,10509.9
24-Jun-2020,10:42,sma5,Sell,CALL,10550,49.8
24-Jun-2020,10:42,bb1sd,Sell,CALL,10550,49.8
24-Jun-2020,10:42,bb2sd,Sell,CALL,10550,49.8
24-Jun-2020,10:42,stochastic,Sell,CALL,10550,49.8
24-Jun-2020,10:42,combination,Sell,CALL,10550,49.8
24-Jun-2020,10:42,bb1sd,Buy,PUT,10500,77.55
24-Jun-2020,10:42,bb2sd,Buy,PUT,10500,77.55
24-Jun-2020,10:42,stochastic,Buy,PUT,10500,77.55
24-Jun-2020,10:42,combination,Buy,PUT,10500,77.55
24-Jun-2020,10:43,bb1sd,Sell,NIFTY,,10511.75
24-Jun-2020,10:43,stochastic,Sell,NIFTY,,10511.75
24-Jun-2020,10:43,combination,Sell,NIFTY,,10511.75
24-Jun-2020,10:43,bb1sd,Sell,CALL,10550,51.05
24-Jun-2020,10:43,stochastic,Sell,CALL,10550,51.05
24-Jun-2020,10:43,combination,Sell,CALL,10550,51.05
24-Jun-2020,10:43,bb1sd,Buy,PUT,10500,76.35
24-Jun-2020,10:43,stochastic,Buy,PUT,10500,76.35
24-Jun-2020,10:43,combination,Buy,PUT,10500,76.35
24-Jun-2020,10:44,bb1sd,Sell,NIFTY,,10514
24-Jun-2020,10:44,stochastic,Sell,NIFTY,,10514
24-Jun-2020,10:44,combination,Sell,NIFTY,,10514
24-Jun-2020,10:44,bb1sd,Sell,CALL,10550,51.35
24-Jun-2020,10:44,stochastic,Sell,CALL,10550,51.35
24-Jun-2020,10:44,combination,Sell,CALL,10550,51.35
24-Jun-2020,10:44,bb1sd,Buy,PUT,10500,77.6
24-Jun-2020,10:44,stochastic,Buy,PUT,10500,77.6
24-Jun-2020,10:44,combination,Buy,PUT,10500,77.6
24-Jun-2020,10:45,bb1sd,Sell,NIFTY,,10513.3
24-Jun-2020,10:45,stochastic,Sell,NIFTY,,10513.3
24-Jun-2020,10:45,combination,Sell,NIFTY,,10513.3
24-Jun-2020,10:45,sma5,Buy,CALL,10550,52.6
24-Jun-2020,10:45,bb1sd,Sell,CALL,10550,52.6
24-Jun-2020,10:45,bb1sd,Buy,PUT,10500,77.15
24-Jun-2020,10:45,stochastic,Buy,PUT,10500,77.15
24-Jun-2020,10:45,combination,Buy,PUT,10500,77.15
24-Jun-2020,10:46,sma5,Sell,NIFTY,,10505
24-Jun-2020,10:46,bb1sd,Sell,NIFTY,,10505
24-Jun-2020,10:46,stochastic,Sell,NIFTY,,10505
24-Jun-2020,10:46,combination,Sell,NIFTY,,10505
24-Jun-2020,10:46,sma5,Sell,CALL,10550,48.85
24-Jun-2020,10:46,stochastic,Sell,CALL,10550,48.85
24-Jun-2020,10:46,combination,Sell,CALL,10550,48.85
24-Jun-2020,10:46,sma5,Buy,PUT,10500,81.5
24-Jun-2020,10:46,bb1sd,Buy,PUT,10500,81.5
24-Jun-2020,10:46,bb2sd,Buy,PUT,10500,81.5
24-Jun-2020,10:46,combination,Buy,PUT,10500,81.5
24-Jun-2020,10:46,stochastic,Buy,PUT,10500,81.5
24-Jun-2020,10:46,bb1sd,Sell,CALL,10550,48.85
24-Jun-2020,10:47,bb1sd,Sell,NIFTY,,10494.7
24-Jun-2020,10:47,bb2sd,Sell,NIFTY,,10494.7
24-Jun-2020,10:47,stochastic,Sell,NIFTY,,10494.7
24-Jun-2020,10:47,combination,Sell,NIFTY,,10494.7
24-Jun-2020,10:47,bb1sd,Sell,CALL,10550,44.95
24-Jun-2020,10:47,bb2sd,Sell,CALL,10550,44.95
24-Jun-2020,10:47,stochastic,Sell,CALL,10550,44.95
24-Jun-2020,10:47,combination,Sell,CALL,10550,44.95
24-Jun-2020,10:47,bb1sd,Buy,PUT,10500,86.55
24-Jun-2020,10:47,bb2sd,Buy,PUT,10500,86.55
24-Jun-2020,10:47,stochastic,Buy,PUT,10500,86.55
24-Jun-2020,10:47,combination,Buy,PUT,10500,86.55
24-Jun-2020,10:48,bb1sd,Sell,NIFTY,,10497.65
24-Jun-2020,10:48,stochastic,Sell,NIFTY,,10497.65
24-Jun-2020,10:48,combination,Sell,NIFTY,,10497.65
