sampleCount, change, profit, count, value, avg
"10","40","20","4","40","10"
"10","40","21","4","53","13"
"10","40","22","4","53","13"
"10","40","23","4","53","13"
"10","40","24","4","53","13"
"10","40","25","4","59","14"
"10","40","26","4","59","14"
"10","40","27","4","59","14"
"10","40","28","4","59","14"
"10","40","29","4","59","14"
"10","40","30","4","65","16"
"10","40","31","4","70","17"
"10","40","32","4","70","17"
"10","40","33","4","70","17"
"10","40","34","4","70","17"
"10","40","35","4","70","17"
"10","40","36","4","76","19"
"10","40","37","4","76","19"
"10","40","38","4","79","19"
"10","40","39","4","79","19"
"10","40","40","4","81","20"
"11","5","10","50","107","2"
"11","5","11","50","104","2"
"11","5","12","42","148","3"
"11","5","13","38","143","3"
"11","5","14","36","121","3"
"11","5","15","30","103","3"
"11","5","16","28","94","3"
"11","5","17","28","100","3"
"11","5","18","28","116","4"
"11","5","19","28","114","4"
"11","5","20","28","107","3"
"11","5","21","28","110","3"
"11","5","22","22","146","6"
"11","5","23","22","139","6"
"11","5","24","22","139","6"
"11","5","25","20","126","6"
"11","5","26","18","119","6"
"11","5","27","18","121","6"
"11","5","28","18","121","6"
"11","5","29","14","137","9"
"11","5","30","16","142","8"
"11","5","31","14","133","9"
"11","5","32","14","132","9"
"11","5","33","16","95","5"
"11","5","34","16","95","5"
"11","5","35","14","99","7"
"11","5","36","16","116","7"
"11","5","37","14","115","8"
"11","5","38","14","109","7"
"11","5","39","14","109","7"
"11","5","40","14","112","8"
"11","10","10","48","87","1"
"11","10","11","42","81","1"
"11","10","12","38","86","2"
"11","10","13","36","66","1"
"11","10","14","34","87","2"
"11","10","15","30","83","2"
"11","10","16","28","79","2"
"11","10","17","28","83","2"
"11","10","18","28","111","3"
"11","10","19","26","90","3"
"11","10","20","26","78","3"
"11","10","21","26","78","3"
"11","10","22","20","118","5"
"11","10","23","20","104","5"
"11","10","24","20","105","5"
"11","10","25","20","113","5"
"11","10","26","18","104","5"
"11","10","27","14","123","8"
"11","10","28","14","126","9"
"11","10","29","16","99","6"
"11","10","30","16","86","5"
"11","10","31","16","93","5"
"11","10","32","16","93","5"
"11","10","33","16","93","5"
"11","10","34","16","93","5"
"11","10","35","14","93","6"
"11","10","36","16","116","7"
"11","10","37","12","158","13"
"11","10","38","12","158","13"
"11","10","39","12","158","13"
"11","10","40","12","151","12"
"11","15","10","34","49","1"
"11","15","11","34","35","1"
"11","15","12","28","53","1"
"11","15","13","28","51","1"
"11","15","14","28","46","1"
"11","15","15","28","25","0"
"11","15","16","26","27","1"
"11","15","17","26","31","1"
"11","15","18","24","54","2"
"11","15","19","24","49","2"
"11","15","20","24","51","2"
"11","15","21","24","51","2"
"11","15","22","18","98","5"
"11","15","23","18","90","5"
"11","15","24","18","87","4"
"11","15","25","18","98","5"
"11","15","26","16","84","5"
"11","15","27","16","82","5"
"11","15","28","14","118","8"
"11","15","29","14","121","8"
"11","15","30","14","118","8"
"11","15","31","10","133","13"
"11","15","32","12","82","6"
"11","15","33","12","96","8"
"11","15","34","12","96","8"
"11","15","35","10","96","9"
"11","15","36","12","112","9"
"11","15","37","10","112","11"
"11","15","38","8","121","15"
"11","15","39","8","114","14"
"11","15","40","8","125","15"
"11","20","10","28","59","2"
"11","20","11","28","55","1"
"11","20","12","22","69","3"
"11","20","13","22","67","3"
"11","20","14","20","61","3"
"11","20","15","20","60","3"
"11","20","16","20","34","1"
"11","20","17","20","36","1"
"11","20","18","20","72","3"
"11","20","19","20","63","3"
"11","20","20","20","61","3"
"11","20","21","20","61","3"
"11","20","22","16","71","4"
"11","20","23","16","63","3"
"11","20","24","16","63","3"
"11","20","25","16","65","4"
"11","20","26","14","48","3"
"11","20","27","14","49","3"
"11","20","28","14","52","3"
"11","20","29","14","55","3"
"11","20","30","12","89","7"
"11","20","31","10","66","6"
"11","20","32","10","73","7"
"11","20","33","10","78","7"
"11","20","34","10","73","7"
"11","20","35","10","73","7"
"11","20","36","10","75","7"
"11","20","37","10","75","7"
"11","20","38","10","79","7"
"11","20","39","8","66","8"
"11","20","40","8","64","8"
"11","25","10","22","48","2"
"11","25","11","20","44","2"
"11","25","12","20","66","3"
"11","25","13","20","81","4"
"11","25","14","18","70","3"
"11","25","15","18","69","3"
"11","25","16","18","69","3"
"11","25","17","18","89","4"
"11","25","18","18","89","4"
"11","25","19","18","83","4"
"11","25","20","18","83","4"
"11","25","21","16","61","3"
"11","25","22","14","41","2"
"11","25","23","14","43","3"
"11","25","24","14","33","2"
"11","25","25","14","25","1"
"11","25","26","12","78","6"
"11","25","27","12","74","6"
"11","25","28","12","74","6"
"11","25","29","12","79","6"
"11","25","30","12","80","6"
"11","25","31","10","68","6"
"11","25","32","10","71","7"
"11","25","33","10","71","7"
"11","25","34","10","66","6"
"11","25","35","10","54","5"
"11","25","36","10","76","7"
"11","25","37","10","76","7"
"11","25","38","10","76","7"
"11","25","39","10","76","7"
"11","25","40","10","68","6"
"11","30","10","8","35","4"
"11","30","11","8","35","4"
"11","30","12","8","34","4"
"11","30","13","8","34","4"
"11","30","14","8","42","5"
"11","30","15","8","42","5"
"11","30","16","8","47","5"
"11","30","17","8","51","6"
"11","30","18","8","51","6"
"11","30","19","8","51","6"
"11","30","20","8","51","6"
"11","30","21","8","55","6"
"11","30","22","6","36","6"
"11","30","23","6","36","6"
"11","30","24","6","36","6"
"11","30","25","6","41","6"
"11","30","26","6","52","8"
"11","30","27","6","52","8"
"11","30","28","6","52","8"
"11","30","29","6","52","8"
"11","30","30","6","52","8"
"11","30","31","6","57","9"
"11","30","32","6","57","9"
"11","30","33","6","57","9"
"11","30","34","6","57","9"
"11","30","35","6","57","9"
"11","30","36","6","61","10"
"11","30","37","6","61","10"
"11","30","38","6","70","11"
"11","30","39","6","70","11"
"11","30","40","6","72","12"
"11","35","10","6","10","1"
"11","35","11","6","20","3"
"11","35","12","6","20","3"
"11","35","13","6","20","3"
"11","35","14","6","27","4"
"11","35","15","6","27","4"
"11","35","16","6","27","4"
"11","35","17","6","27","4"
"11","35","18","6","27","4"
"11","35","19","6","27","4"
"11","35","20","6","27","4"
"11","35","21","6","31","5"
"11","35","22","6","40","6"
"11","35","23","6","40","6"
"11","35","24","6","40","6"
"11","35","25","6","46","7"
"11","35","26","6","46","7"
"11","35","27","6","46","7"
"11","35","28","6","46","7"
"11","35","29","6","46","7"
"11","35","30","6","46","7"
"11","35","31","6","57","9"
"11","35","32","6","57","9"
"11","35","33","6","57","9"
"11","35","34","6","57","9"
"11","35","35","6","57","9"
"11","35","36","6","61","10"
"11","35","37","6","63","10"
"11","35","38","6","63","10"
"11","35","39","6","66","11"
"11","35","40","6","68","11"
"11","40","10","4","31","7"
"11","40","11","4","31","7"
"11","40","12","4","35","8"
"11","40","13","4","35","8"
"11","40","14","4","35","8"
"11","40","15","4","35","8"
"11","40","16","4","40","10"
"11","40","17","4","40","10"
"11","40","18","4","40","10"
"11","40","19","4","40","10"
"11","40","20","4","41","10"
"11","40","21","4","54","13"
"11","40","22","4","54","13"
"11","40","23","4","54","13"
"11","40","24","4","54","13"
"11","40","25","4","54","13"
"11","40","26","4","55","13"
"11","40","27","4","58","14"
"11","40","28","4","58","14"
"11","40","29","4","59","14"
"11","40","30","4","66","16"
"11","40","31","4","66","16"
"11","40","32","4","80","20"
"11","40","33","4","80","20"
"11","40","34","4","80","20"
"11","40","35","4","80","20"
"11","40","36","4","82","20"
"11","40","37","4","82","20"
"11","40","38","4","85","21"
"11","40","39","4","85","21"
"11","40","40","4","85","21"
"12","5","10","50","112","2"
"12","5","11","50","107","2"
"12","5","12","46","108","2"
"12","5","13","38","127","3"
"12","5","14","34","133","3"
"12","5","15","28","115","4"
"12","5","16","26","109","4"
"12","5","17","26","116","4"
"12","5","18","26","105","4"
"12","5","19","26","143","5"
"12","5","20","26","138","5"
"12","5","21","26","138","5"
"12","5","22","22","140","6"
"12","5","23","22","147","6"
"12","5","24","22","147","6"
"12","5","25","20","125","6"
"12","5","26","18","128","7"
"12","5","27","14","128","9"
"12","5","28","14","128","9"
"12","5","29","14","134","9"
"12","5","30","18","106","5"
"12","5","31","16","109","6"
"12","5","32","16","122","7"
"12","5","33","16","117","7"
"12","5","34","16","117","7"
"12","5","35","16","98","6"
"12","5","36","16","120","7"
"12","5","37","16","128","8"
"12","5","38","16","123","7"
"12","5","39","16","123","7"
"12","5","40","16","109","6"
"12","10","10","44","77","1"
"12","10","11","40","92","2"
"12","10","12","36","109","3"
"12","10","13","32","122","3"
"12","10","14","30","144","4"
"12","10","15","28","106","3"
"12","10","16","26","97","3"
"12","10","17","26","102","3"
"12","10","18","26","102","3"
"12","10","19","24","111","4"
"12","10","20","24","100","4"
"12","10","21","24","100","4"
"12","10","22","20","116","5"
"12","10","23","20","115","5"
"12","10","24","20","117","5"
"12","10","25","20","119","5"
"12","10","26","18","123","6"
"12","10","27","14","123","8"
"12","10","28","14","127","9"
"12","10","29","14","137","9"
"12","10","30","18","104","5"
"12","10","31","16","103","6"
"12","10","32","16","118","7"
"12","10","33","16","118","7"
"12","10","34","16","118","7"
"12","10","35","16","95","5"
"12","10","36","16","123","7"
"12","10","37","16","126","7"
"12","10","38","16","126","7"
"12","10","39","16","125","7"
"12","10","40","16","111","6"
"12","15","10","36","66","1"
"12","15","11","36","59","1"
"12","15","12","28","58","2"
"12","15","13","28","80","2"
"12","15","14","28","82","2"
"12","15","15","26","42","1"
"12","15","16","22","62","2"
"12","15","17","22","62","2"
"12","15","18","22","62","2"
"12","15","19","22","85","3"
"12","15","20","22","79","3"
"12","15","21","22","79","3"
"12","15","22","18","94","5"
"12","15","23","18","100","5"
"12","15","24","18","97","5"
"12","15","25","18","100","5"
"12","15","26","16","93","5"
"12","15","27","16","87","5"
"12","15","28","14","129","9"
"12","15","29","14","132","9"
"12","15","30","16","135","8"
"12","15","31","10","133","13"
"12","15","32","12","99","8"
"12","15","33","12","113","9"
"12","15","34","12","121","10"
"12","15","35","12","98","8"
"12","15","36","12","118","9"
"12","15","37","12","118","9"
"12","15","38","8","121","15"
"12","15","39","8","114","14"
"12","15","40","8","125","15"
"12","20","10","22","80","3"
"12","20","11","22","75","3"
"12","20","12","20","81","4"
"12","20","13","20","80","4"
"12","20","14","18","74","4"
"12","20","15","18","74","4"
"12","20","16","20","57","2"
"12","20","17","20","55","2"
"12","20","18","18","88","4"
"12","20","19","18","85","4"
"12","20","20","18","85","4"
"12","20","21","18","85","4"
"12","20","22","14","54","3"
"12","20","23","14","39","2"
"12","20","24","14","39","2"
"12","20","25","14","39","2"
"12","20","26","14","49","3"
"12","20","27","14","47","3"
"12","20","28","14","44","3"
"12","20","29","14","44","3"
"12","20","30","12","85","7"
"12","20","31","10","67","6"
"12","20","32","10","69","6"
"12","20","33","10","75","7"
"12","20","34","10","75","7"
"12","20","35","10","75","7"
"12","20","36","10","77","7"
"12","20","37","10","76","7"
"12","20","38","10","79","7"
"12","20","39","8","65","8"
"12","20","40","8","65","8"
"12","25","10","16","57","3"
"12","25","11","16","82","5"
"12","25","12","16","79","4"
"12","25","13","16","83","5"
"12","25","14","16","78","4"
"12","25","15","16","80","5"
"12","25","16","16","51","3"
"12","25","17","16","55","3"
"12","25","18","16","97","6"
"12","25","19","16","94","5"
"12","25","20","14","75","5"
"12","25","21","14","79","5"
"12","25","22","12","51","4"
"12","25","23","12","53","4"
"12","25","24","12","60","5"
"12","25","25","8","98","12"
"12","25","26","8","98","12"
"12","25","27","8","103","12"
"12","25","28","8","103","12"
"12","25","29","8","103","12"
"12","25","30","8","79","9"
"12","25","31","8","85","10"
"12","25","32","8","89","11"
"12","25","33","8","113","14"
"12","25","34","8","94","11"
"12","25","35","8","94","11"
"12","25","36","6","98","16"
"12","25","37","6","98","16"
"12","25","38","6","98","16"
"12","25","39","6","109","18"
"12","25","40","6","109","18"
"12","30","10","12","64","5"
"12","30","11","12","64","5"
"12","30","12","12","61","5"
"12","30","13","12","65","5"
"12","30","14","12","72","6"
"12","30","15","10","55","5"
"12","30","16","10","55","5"
"12","30","17","8","41","5"
"12","30","18","8","41","5"
"12","30","19","8","54","6"
"12","30","20","8","20","2"
"12","30","21","8","20","2"
"12","30","22","8","13","1"
"12","30","23","8","13","1"
"12","30","24","8","13","1"
"12","30","25","8","13","1"
"12","30","26","8","13","1"
"12","30","27","8","13","1"
"12","30","28","8","17","2"
"12","30","29","8","77","9"
"12","30","30","8","80","10"
"12","30","31","8","82","10"
"12","30","32","8","88","11"
"12","30","33","8","91","11"
"12","30","34","8","93","11"
"12","30","35","6","60","10"
"12","30","36","6","60","10"
"12","30","37","6","60","10"
"12","30","38","8","24","3"
"12","30","39","8","30","3"
"12","30","40","8","30","3"
"12","35","10","10","13","1"
"12","35","11","10","13","1"
"12","35","12","10","12","1"
"12","35","13","10","12","1"
"12","35","14","10","27","2"
"12","35","15","8","4","0"
"12","35","16","8","4","0"
"12","35","17","8","4","0"
"12","35","18","8","4","0"
"12","35","19","8","15","1"
"12","35","20","8","15","1"
"12","35","21","8","16","2"
"12","35","22","8","16","2"
"12","35","23","8","16","2"
"12","35","24","8","-2","-1"
"12","35","25","8","3","0"
"12","35","26","8","3","0"
"12","35","27","8","3","0"
"12","35","28","8","3","0"
"12","35","29","8","4","0"
"12","35","30","8","12","1"
"12","35","31","8","17","2"
"12","35","32","8","17","2"
"12","35","33","8","17","2"
"12","35","34","8","17","2"
"12","35","35","8","17","2"
"12","35","36","8","21","2"
"12","35","37","8","21","2"
"12","35","38","8","21","2"
"12","35","39","8","28","3"
"12","35","40","8","30","3"
"12","40","10","6","12","2"
"12","40","11","6","12","2"
"12","40","12","6","16","2"
"12","40","13","6","16","2"
"12","40","14","6","16","2"
"12","40","15","6","10","1"
"12","40","16","6","25","4"
"12","40","17","6","25","4"
"12","40","18","6","25","4"
"12","40","19","6","25","4"
"12","40","20","6","25","4"
"12","40","21","6","27","4"
"12","40","22","6","27","4"
"12","40","23","6","27","4"
"12","40","24","6","9","1"
"12","40","25","6","9","1"
"12","40","26","6","16","2"
"12","40","27","6","19","3"
"12","40","28","6","19","3"
"12","40","29","6","19","3"
"12","40","30","6","21","3"
"12","40","31","6","23","3"
"12","40","32","4","78","19"
"12","40","33","4","81","20"
"12","40","34","4","81","20"
"12","40","35","4","81","20"
"12","40","36","4","94","23"
"12","40","37","4","94","23"
"12","40","38","4","94","23"
"12","40","39","4","94","23"
"12","40","40","4","94","23"
"13","5","10","44","102","2"
"13","5","11","44","94","2"
"13","5","12","40","107","2"
"13","5","13","38","104","2"
"13","5","14","36","126","3"
"13","5","15","28","118","4"
"13","5","16","26","109","4"
"13","5","17","26","110","4"
"13","5","18","26","113","4"
"13","5","19","26","139","5"
"13","5","20","26","130","5"
"13","5","21","26","130","5"
"13","5","22","20","113","5"
"13","5","23","22","149","6"
"13","5","24","22","149","6"
"13","5","25","22","153","6"
"13","5","26","20","136","6"
"13","5","27","20","126","6"
"13","5","28","14","130","9"
"13","5","29","16","113","7"
"13","5","30","16","106","6"
"13","5","31","16","106","6"
"13","5","32","16","117","7"
"13","5","33","16","117","7"
"13","5","34","16","124","7"
"13","5","35","16","124","7"
"13","5","36","16","126","7"
"13","5","37","16","126","7"
"13","5","38","16","110","6"
"13","5","39","16","117","7"
"13","5","40","16","134","8"
"13","10","10","40","93","2"
"13","10","11","38","117","3"
"13","10","12","32","143","4"
"13","10","13","30","141","4"
"13","10","14","28","161","5"
"13","10","15","26","146","5"
"13","10","16","24","137","5"
"13","10","17","24","142","5"
"13","10","18","24","131","5"
