"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"19415","REFRE1","BE","REFEX INDUSTRIES RIGHTS ENTITL",0.01,1,"","",0,10,"INE056I20017",24.5,3.8,24.5,3.8,"","","",0,0,0,12.25,5.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","REFEX-RE"
"19430","EMPSUG","EQ","EMPEE SUGARS & CHEMICALS LTD",0.01,1,"","",0,10,"INE928B01012",9.05,3.6,84.9,0.05,"","","",0,0,0,4.7,3.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EMPEESUG"
"19438","ASIEAS","EQ","ASIAN HOTELS (EAST) LIMITED",0.01,1,"","",0,10,"INE926K01017",175.3,127.25,326.67,74.27,"","","",0,0,0,162.7,108.48,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AHLEAST"
"19440","SICAL","BE","SICAL LOGISTICS LIMITED",0.01,1,"","",0,10,"INE075B01020",122.5,60.11,483.55,4.25,"","","",0,0,0,95.62,86.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SICALLOG"
"19451","CAPTRU","BE","CAPITAL TRUST LTD",0.01,1,"","",0,10,"INE707C01018",34.07,10.98,364.31,10.98,"","","",0,0,0,20.35,18.43,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAPTRUST"
"19456","SGBT65","GB","2.50% SOV. GOLD BOND 20 SEP 31",0.01,1,"","",0,5923,"IN0020230093",0,0,19190,5813,"","","",0,0,0,16973.92,13887.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBSEP31II"
"19458","PLAWIR","EQ","PLAZA WIRES LIMITED",0.01,1,"","",0,1,"INE0INJ01017",66,27,173.5,27,"","","",0,0,0,64.11,58.01,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PLAZACABLE"
"1946","ADCIND","EQ","ADC INDIA COMMUNICATIONS LIMIT",0.01,1,"","",0,10,"INE833A01016",0,0,785,25.6,"","","",0,0,0,56.4,37.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KRONECOMM"
"19465","KARI","SM","KARNIKA INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE0MGA01012",189,90.25,224.95,15,"","","",0,0,0,144,96,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KARNIKA"
"19469","SHACHU","SM","SHARP CHUCKS AND MACHINES",0.01,1,"","",0,10,"INE460Q01014",159.5,68.65,159.5,55,"","","",0,0,0,93.05,62.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SCML"
