feature,avg_importance,rank
Bollinger_5_1,0.26287,1
Bollinger_5_1__AND__ADX_20,0.243894,2
stddev,0.231336,3
EMA_30_70__AND__RSI_5_70_30_REV,0.186755,4
Bollinger_25_1__AND__EMA_5_13,0.179627,5
Bollinger_5_1__AND__EMA_9_21,0.164783,6
Bollinger_5_1__AND__EMA_18_42,0.164211,7
Bollinger_5_1__AND__ADX_14,0.151784,8
Bollinger_5_1.5__AND__EMA_5_13,0.150157,9
EMA_30_70__AND__ADX_14,0.145283,10
Bollinger_10_1__AND__RSI_5_70_30_REV,0.144807,11
EMA_24_56__AND__ADX_20,0.144272,12
EMA_15_35__AND__ADX_20,0.133763,13
RSI_5_70_30_REV,0.133085,14
RSI_10_70_30__AND__MACD_4_8_3,0.131346,15
Bollinger_5_1.5__AND__RSI_5_90_10_REV,0.129036,16
Bollinger_20_1__AND__EMA_21_49,0.126529,17
RSI_5_70_30__AND__MACD_4_8_3,0.12586,18
Bollinger_20_1__AND__EMA_12_28,0.123828,19
Bollinger_10_1__AND__EMA_21_49,0.122399,20
EMA_24_56__AND__ADX_14,0.120603,21
EMA_5_13__AND__ADX_20,0.11859,22
Bollinger_30_1__AND__EMA_15_35,0.114279,23
EMA_21_49__AND__ADX_20,0.113218,24
Bollinger_30_1__AND__EMA_9_21,0.11224,25
MACD_24_48_18__AND__EMA_12_28,0.111366,26
Bollinger_15_1__AND__EMA_12_28,0.109685,27
MACD_4_8_3__AND__RSI_5_70_30_REV,0.106716,28
MACD_20_40_15__AND__RSI_5_70_30_REV,0.105862,29
Bollinger_15_1.5__AND__RSI_10_70_30_REV,0.105625,30
MACD_20_40_15__AND__Bollinger_5_1,0.105621,31
MACD_4_8_3__AND__Bollinger_25_1,0.10393,32
EMA_15_35__AND__RSI_5_70_30_REV,0.102376,33
MACD_12_26_9__AND__EMA_30_70,0.101943,34
EMA_18_42__AND__EMA_30_70,0.101655,35
EMA_18_42__AND__ADX_14,0.101598,36
MACD_8_16_6__AND__EMA_30_70,0.101124,37
MACD_12_26_9__AND__ADX_20,0.100506,38
MACD_8_16_6__AND__ADX_14,0.100279,39
MACD_24_48_18__AND__EMA_30_70,0.099685,40
MACD_4_8_3__AND__Bollinger_30_1,0.099422,41
Bollinger_5_1.5,0.099383,42
Bollinger_5_1__AND__Bollinger_5_1.5,0.09934,43
MACD_12_26_9__AND__EMA_27_63,0.09867,44
MACD_20_40_15__AND__Bollinger_15_1,0.09856,45
Bollinger_15_1.5__AND__EMA_27_63,0.097922,46
Bollinger_20_2__AND__EMA_27_63,0.097877,47
EMA_15_35__AND__ADX_14,0.097529,48
RSI_20_70_30_REV,0.096936,49
Bollinger_5_1.5__AND__Bollinger_10_1,0.096384,50
