feature,avg_importance,rank
range,0.348576,1
Bollinger_5_1__AND__ADX_20,0.18609,2
Bollinger_5_1__AND__ADX_14,0.150935,3
RSI_10_70_30__AND__MACD_4_8_3,0.145411,4
MACD_4_8_3__AND__ADX_14,0.140744,5
stddev,0.127717,6
EMA_15_35__AND__ADX_14,0.12002,7
MACD_4_8_3__AND__Bollinger_5_1,0.118248,8
R2,0.116329,9
Bollinger_10_1__AND__EMA_21_49,0.116241,10
Bollinger_10_1__AND__EMA_15_35,0.115912,11
Bollinger_10_1__AND__EMA_12_28,0.113557,12
RSI_10_70_30,0.106545,13
Bollinger_5_1__AND__EMA_24_56,0.106339,14
MACD_20_40_15__AND__Stoch_14_3,0.103005,15
Bollinger_10_1.5__AND__EMA_5_13,0.102693,16
R1,0.101176,17
EMA_21_49__AND__RSI_5_80_20_REV,0.098511,18
EMA_27_63__AND__ADX_20,0.097824,19
Bollinger_5_1,0.097481,20
MACD_16_32_12__AND__Bollinger_10_1,0.095281,21
Bollinger_5_1.5__AND__ADX_14,0.093787,22
Bollinger_30_1__AND__ADX_20,0.092741,23
S2,0.092245,24
EMA_27_63__AND__RSI_5_90_10_REV,0.091347,25
EMA_5_13__AND__RSI_10_80_20_REV,0.091126,26
EMA_27_63__AND__ADX_14,0.08893,27
EMA_5_13,0.088762,28
MACD_20_40_15__AND__Bollinger_5_1.5,0.088219,29
Bollinger_5_1.5__AND__ADX_20,0.086943,30
EMA_12_28__AND__RSI_15_70_30_REV,0.086743,31
Bollinger_5_1.5,0.085966,32
Bollinger_5_1.5__AND__EMA_5_13,0.085646,33
ADX_20__AND__RSI_15_70_30_REV,0.085359,34
MACD_16_32_12__AND__Bollinger_15_1,0.085111,35
EMA_24_56__AND__ADX_14,0.085017,36
Bollinger_5_1__AND__Bollinger_5_1.5,0.084924,37
EMA_21_49__AND__RSI_10_70_30_REV,0.084342,38
MACD_12_26_9__AND__Bollinger_5_1.5,0.084276,39
EMA_5_13__AND__RSI_5_80_20_REV,0.083544,40
MACD_4_8_3,0.081778,41
Bollinger_15_1__AND__EMA_30_70,0.08167,42
RSI_10_80_20__AND__MACD_4_8_3,0.08137,43
MACD_8_16_6__AND__ADX_20,0.080861,44
EMA_24_56__AND__RSI_10_70_30_REV,0.08013,45
MACD_4_8_3__AND__Bollinger_30_1,0.080091,46
MACD_4_8_3__AND__EMA_18_42,0.079277,47
EMA_12_28__AND__Stoch_14_3,0.07878,48
MACD_16_32_12__AND__Bollinger_5_1.5,0.078345,49
RSI_5_70_30__AND__MACD_16_32_12,0.077372,50
