eventName,open,close,high,low,S1,R1,S2,R2
priceUpdate_300,24008.6,24019.95,24020.45,24001.85,24007.72,24026.32,23995.48,24032.68
priceUpdate_120,24012.15,24018.75,24020.45,24009.4,24011.95,24023,24005.15,24027.25
priceUpdate_60,24013.6,24014.7,24020.45,24013.35,24011.88,24018.98,24009.07,24023.27
priceUpdate_60,24015.1,24016.6,24018.4,24012.05,24012.97,24019.32,24009.33,24022.03
priceUpdate_120,24017.45,24033.7,24033.8,24012.05,24019.23,24040.98,24004.77,24048.27
priceUpdate_60,24015.6,24036.6,24037.65,24015.6,24022.25,24044.3,24007.9,24052
priceUpdate_60,24037.55,24029.6,24037.55,24028.65,24026.32,24035.22,24023.03,24040.83
priceUpdate_120,24033.05,24032.95,24037.65,24026.8,24027.28,24038.13,24021.62,24043.32
priceUpdate_60,24029.95,24035.7,24035.8,24026.8,24029.73,24038.73,24023.77,24041.77
priceUpdate_300,24019,24036.1,24037.65,24012.05,24019.55,24045.15,24003,24054.2
priceUpdate_60,24035.15,24040.5,24041.25,24032.15,24034.68,24043.78,24028.87,24047.07
priceUpdate_120,24034.35,24044.95,24045.6,24032.15,24036.2,24049.65,24027.45,24054.35
priceUpdate_60,24039.4,24042.95,24045.6,24039.4,24039.7,24045.9,24036.45,24048.85
priceUpdate_60,24043.4,24033.75,24044.2,24033.65,24030.2,24040.75,24026.65,24047.75
priceUpdate_120,24044.1,24031.5,24045.55,24028.05,24024.52,24042.02,24017.53,24052.53
priceUpdate_60,24035.2,24028.6,24035.3,24028.05,24026,24033.25,24023.4,24037.9
priceUpdate_60,24029.75,24024.75,24032.1,24023.1,24021.2,24030.2,24017.65,24035.65
priceUpdate_300,24035.2,24020.8,24045.6,24017.8,24010.53,24038.33,24000.27,24055.87
priceUpdate_120,24032.4,24021.3,24032.4,24017.8,24015.27,24029.87,24009.23,24038.43
priceUpdate_60,24023.7,24020.05,24024.95,24017.8,24016.92,24024.07,24013.78,24028.08
priceUpdate_60,24020.7,24025.75,24027.05,24017.9,24020.08,24029.23,24014.42,24032.72
priceUpdate_120,24021.5,24037.1,24038.5,24017.9,24023.83,24044.43,24010.57,24051.77
priceUpdate_60,24025.35,24036.65,24038.5,24024.1,24027.67,24042.07,24018.68,24047.48
priceUpdate_60,24037,24032.95,24038,24029.75,24029.13,24037.38,24025.32,24041.82
priceUpdate_120,24037,24031.7,24038.4,24029.75,24028.17,24036.82,24024.63,24041.93
priceUpdate_60,24033.3,24024.95,24034.65,24024.95,24021.72,24031.42,24018.48,24037.88
priceUpdate_300,24023.3,24019.05,24038.5,24017.55,24011.57,24032.52,24004.08,24045.98
priceUpdate_60,24024.5,24019.75,24025.15,24017.55,24016.48,24024.08,24013.22,24028.42
priceUpdate_120,24032.1,24017.35,24032.1,24011.9,24008.8,24029,24000.25,24040.65
priceUpdate_60,24018.85,24018.5,24020.2,24011.9,24013.53,24021.83,24008.57,24025.17
priceUpdate_60,24018.95,24016.5,24020.25,24014.25,24013.75,24019.75,24011,24023
priceUpdate_120,24018.3,24010.25,24020.25,24003.35,24002.32,24019.22,23994.38,24028.18
priceUpdate_60,24016.55,24010.1,24016.65,24003.35,24003.42,24016.72,23996.73,24023.33
priceUpdate_60,24009.85,24003.25,24010.4,24000.3,23998.9,24009,23994.55,24014.75
priceUpdate_300,24019.3,24004.85,24021,24000.3,23996.43,24017.13,23988.02,24029.42
priceUpdate_120,24009.05,24004.65,24010.75,24000.3,23999.72,24010.17,23994.78,24015.68
priceUpdate_60,24002.8,24000.95,24005.55,24000,23998.78,24004.33,23996.62,24007.72
priceUpdate_60,24001.6,24000.1,24001.6,23992.8,23994.73,24003.53,23989.37,24006.97
priceUpdate_120,24004.05,23997.85,24005,23992.8,23992.1,24004.3,23986.35,24010.75
priceUpdate_60,24000.15,24001.9,24002.3,23995.95,23997.8,24004.15,23993.7,24006.4
priceUpdate_60,24002.2,24010.15,24012.5,24001.05,24003.3,24014.75,23996.45,24019.35
priceUpdate_120,23997,24016.1,24021.1,23995.95,24001,24026.15,23985.9,24036.2
priceUpdate_60,24012.05,24016.55,24021.1,24010.85,24011.23,24021.48,24005.92,24026.42
priceUpdate_300,24004.65,24014.2,24021.1,23992.8,23997.63,24025.93,23981.07,24037.67
priceUpdate_60,24015.45,24014.25,24018.55,24011.7,24011.12,24017.97,24007.98,24021.68
priceUpdate_120,24016.4,24009.35,24020.15,24009.1,24005.58,24016.63,24001.82,24023.92
priceUpdate_60,24013.95,24008.4,24017.45,24008.1,24005.18,24014.53,24001.97,24020.67
priceUpdate_60,24009.3,24015.1,24015.4,24007.85,24010.17,24017.72,24005.23,24020.33
