Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,41075,65,NIFTY,NIFTY07APR26P27750,07-APR-2026,OPTIDX,PE,27750,0.05,
NFO,41074,65,NIFTY,NIFTY07APR26C27750,07-APR-2026,OPTIDX,CE,27750,0.05,
NFO,41073,30,BANKNIFTY,BANKNIFTY28APR26C43600,28-APR-2026,OPTIDX,CE,43600,0.05,
NFO,41072,30,BANKNIFTY,BANKNIFTY28APR26P43400,28-APR-2026,OPTIDX,PE,43400,0.05,
NFO,41071,30,BANKNIFTY,BANKNIFTY28APR26C43400,28-APR-2026,OPTIDX,CE,43400,0.05,
NFO,41070,65,NIFTY,NIFTY07APR26P27700,07-APR-2026,OPTIDX,PE,27700,0.05,
NFO,41069,65,NIFTY,NIFTY07APR26C27700,07-APR-2026,OPTIDX,CE,27700,0.05,
NFO,41068,30,BANKNIFTY,BANKNIFTY28APR26P36000,28-APR-2026,OPTIDX,PE,36000,0.05,
NFO,41067,30,BANKNIFTY,BANKNIFTY28APR26C36000,28-APR-2026,OPTIDX,CE,36000,0.05,
NFO,41066,30,BANKNIFTY,BANKNIFTY30MAR26P43400,30-MAR-2026,OPTIDX,PE,43400,0.05,
NFO,41065,30,BANKNIFTY,BANKNIFTY30MAR26C43400,30-MAR-2026,OPTIDX,CE,43400,0.05,
NFO,41064,65,NIFTY,NIFTY07APR26P27650,07-APR-2026,OPTIDX,PE,27650,0.05,
NFO,41063,65,NIFTY,NIFTY07APR26C27650,07-APR-2026,OPTIDX,CE,27650,0.05,
NFO,41062,900,ZYDUSLIFE,ZYDUSLIFE28APR26P580,28-APR-2026,OPTSTK,PE,580,0.05,
NFO,41061,900,ZYDUSLIFE,ZYDUSLIFE28APR26C580,28-APR-2026,OPTSTK,CE,580,0.05,
NFO,41060,65,NIFTY,NIFTY07APR26P27600,07-APR-2026,OPTIDX,PE,27600,0.05,
NFO,41059,65,NIFTY,NIFTY07APR26C27600,07-APR-2026,OPTIDX,CE,27600,0.05,
NFO,41058,65,NIFTY,NIFTY07APR26P27550,07-APR-2026,OPTIDX,PE,27550,0.05,
NFO,41057,65,NIFTY,NIFTY07APR26C27550,07-APR-2026,OPTIDX,CE,27550,0.05,
NFO,41056,175,WAAREEENER,WAAREEENER28APR26P3700,28-APR-2026,OPTSTK,PE,3700,0.05,
NFO,41055,175,WAAREEENER,WAAREEENER28APR26C3700,28-APR-2026,OPTSTK,CE,3700,0.05,
NFO,41054,65,NIFTY,NIFTY07APR26P27500,07-APR-2026,OPTIDX,PE,27500,0.05,
NFO,41053,65,NIFTY,NIFTY07APR26C27500,07-APR-2026,OPTIDX,CE,27500,0.05,
NFO,41052,65,NIFTY,NIFTY07APR26P27450,07-APR-2026,OPTIDX,PE,27450,0.05,
NFO,41051,65,NIFTY,NIFTY07APR26C27450,07-APR-2026,OPTIDX,CE,27450,0.05,
NFO,41050,65,NIFTY,NIFTY07APR26P27400,07-APR-2026,OPTIDX,PE,27400,0.05,
NFO,41049,65,NIFTY,NIFTY07APR26C27400,07-APR-2026,OPTIDX,CE,27400,0.05,
NFO,41048,65,NIFTY,NIFTY07APR26P27350,07-APR-2026,OPTIDX,PE,27350,0.05,
NFO,41047,65,NIFTY,NIFTY07APR26C27350,07-APR-2026,OPTIDX,CE,27350,0.05,
NFO,41046,65,NIFTY,NIFTY07APR26P27300,07-APR-2026,OPTIDX,PE,27300,0.05,
NFO,41045,65,NIFTY,NIFTY07APR26C27300,07-APR-2026,OPTIDX,CE,27300,0.05,
NFO,41044,65,NIFTY,NIFTY07APR26P27250,07-APR-2026,OPTIDX,PE,27250,0.05,
NFO,41043,65,NIFTY,NIFTY07APR26C27250,07-APR-2026,OPTIDX,CE,27250,0.05,
NFO,41042,65,NIFTY,NIFTY07APR26P27200,07-APR-2026,OPTIDX,PE,27200,0.05,
NFO,41041,65,NIFTY,NIFTY07APR26C27200,07-APR-2026,OPTIDX,CE,27200,0.05,
NFO,41040,1150,VEDL,VEDL28APR26P550,28-APR-2026,OPTSTK,PE,550,0.05,
NFO,41039,1150,VEDL,VEDL28APR26C550,28-APR-2026,OPTSTK,CE,550,0.05,
NFO,41038,1150,VEDL,VEDL28APR26P530,28-APR-2026,OPTSTK,PE,530,0.05,
NFO,41037,1150,VEDL,VEDL28APR26C530,28-APR-2026,OPTSTK,CE,530,0.05,
