Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,99039,675,JSWSTEEL,JSWSTEEL29MAY25C1140,29-MAY-2025,OPTSTK,CE,1140,0.05,
NFO,99038,725,CGPOWER,CGPOWER24APR25C700,24-APR-2025,OPTSTK,CE,700,0.05,
NFO,99037,725,CGPOWER,CGPOWER24APR25P680,24-APR-2025,OPTSTK,PE,680,0.05,
NFO,99036,675,JSWSTEEL,JSWSTEEL29MAY25P1120,29-MAY-2025,OPTSTK,PE,1120,0.05,
NFO,99035,675,JSWSTEEL,JSWSTEEL29MAY25C1120,29-MAY-2025,OPTSTK,CE,1120,0.05,
NFO,99034,675,JSWSTEEL,JSWSTEEL29MAY25P1100,29-MAY-2025,OPTSTK,PE,1100,0.05,
NFO,99033,675,JSWSTEEL,JSWSTEEL29MAY25C1100,29-MAY-2025,OPTSTK,CE,1100,0.05,
NFO,99032,725,CGPOWER,CGPOWER24APR25C680,24-APR-2025,OPTSTK,CE,680,0.05,
NFO,99031,725,CGPOWER,CGPOWER24APR25P660,24-APR-2025,OPTSTK,PE,660,0.05,
NFO,99030,725,CGPOWER,CGPOWER24APR25C660,24-APR-2025,OPTSTK,CE,660,0.05,
NFO,99029,725,CGPOWER,CGPOWER24APR25P640,24-APR-2025,OPTSTK,PE,640,0.05,
NFO,99027,725,CGPOWER,CGPOWER24APR25C640,24-APR-2025,OPTSTK,CE,640,0.05,
NFO,99026,725,CGPOWER,CGPOWER24APR25P620,24-APR-2025,OPTSTK,PE,620,0.05,
NFO,99022,675,JSWSTEEL,JSWSTEEL29MAY25P1080,29-MAY-2025,OPTSTK,PE,1080,0.05,
NFO,99021,675,JSWSTEEL,JSWSTEEL29MAY25C1080,29-MAY-2025,OPTSTK,CE,1080,0.05,
NFO,99018,675,JSWSTEEL,JSWSTEEL29MAY25P1060,29-MAY-2025,OPTSTK,PE,1060,0.05,
NFO,99017,675,JSWSTEEL,JSWSTEEL29MAY25C1060,29-MAY-2025,OPTSTK,CE,1060,0.05,
NFO,99016,675,JSWSTEEL,JSWSTEEL29MAY25P1040,29-MAY-2025,OPTSTK,PE,1040,0.05,
NFO,99015,675,JSWSTEEL,JSWSTEEL29MAY25C1040,29-MAY-2025,OPTSTK,CE,1040,0.05,
NFO,99014,675,JSWSTEEL,JSWSTEEL29MAY25P1020,29-MAY-2025,OPTSTK,PE,1020,0.05,
NFO,99012,675,JSWSTEEL,JSWSTEEL29MAY25C1020,29-MAY-2025,OPTSTK,CE,1020,0.05,
NFO,99011,675,JSWSTEEL,JSWSTEEL29MAY25P1000,29-MAY-2025,OPTSTK,PE,1000,0.05,
NFO,99010,675,JSWSTEEL,JSWSTEEL29MAY25C1000,29-MAY-2025,OPTSTK,CE,1000,0.05,
NFO,99009,675,JSWSTEEL,JSWSTEEL29MAY25P980,29-MAY-2025,OPTSTK,PE,980,0.05,
NFO,99008,675,JSWSTEEL,JSWSTEEL29MAY25C980,29-MAY-2025,OPTSTK,CE,980,0.05,
NFO,99007,675,JSWSTEEL,JSWSTEEL29MAY25P960,29-MAY-2025,OPTSTK,PE,960,0.05,
NFO,99006,675,JSWSTEEL,JSWSTEEL29MAY25C960,29-MAY-2025,OPTSTK,CE,960,0.05,
NFO,99005,675,JSWSTEEL,JSWSTEEL29MAY25P940,29-MAY-2025,OPTSTK,PE,940,0.05,
NFO,99004,675,JSWSTEEL,JSWSTEEL29MAY25C940,29-MAY-2025,OPTSTK,CE,940,0.05,
NFO,99003,675,JSWSTEEL,JSWSTEEL29MAY25P920,29-MAY-2025,OPTSTK,PE,920,0.05,
NFO,99002,1225,HINDZINC,HINDZINC26JUN25C340,26-JUN-2025,OPTSTK,CE,340,0.05,
NFO,99001,1225,HINDZINC,HINDZINC26JUN25P320,26-JUN-2025,OPTSTK,PE,320,0.05,
NFO,99000,1225,HINDZINC,HINDZINC26JUN25C320,26-JUN-2025,OPTSTK,CE,320,0.05,
