
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
| 14     | 12       | 7      | 42.9% | -3211  |
| 15     | 17       | 7      | 42.9% | -3334  |
| 14     | 13       | 7      | 42.9% | -3377  |
| 15     | 15       | 7      | 42.9% | -3471  |
| 19     | 26       | 7      | 42.9% | -3523  |
| 15     | 16       | 7      | 42.9% | -3614  |
| 16     | 25       | 7      | 42.9% | -3630  |
| 16     | 28       | 7      | 42.9% | -3812  |
| 16     | 27       | 7      | 42.9% | -3910  |
| 19     | 20       | 7      | 42.9% | -4072  |
| 29     | 10       | 7      | 42.9% | -4384  |
| 28     | 7        | 7      | 42.9% | -4738  |
| 26     | 17       | 7      | 42.9% | -4790  |
| 28     | 10       | 7      | 42.9% | -4943  |
| 22     | 12       | 7      | 42.9% | -6042  |
| 30     | 29       | 5      | 40%   | 1209   |
| 30     | 28       | 5      | 40%   | 1173   |
| 30     | 24       | 5      | 40%   | 809    |
| 27     | 17       | 5      | 40%   | -643   |
| 27     | 28       | 5      | 40%   | -699   |
| 29     | 22       | 5      | 40%   | -923   |
| 26     | 20       | 5      | 40%   | -2464  |
| 15     | 29       | 8      | 37.5% | -1362  |
| 15     | 13       | 8      | 37.5% | -1423  |
| 20     | 29       | 8      | 37.5% | -1612  |
| 13     | 27       | 8      | 37.5% | -1667  |
| 14     | 15       | 8      | 37.5% | -1784  |
| 14     | 14       | 8      | 37.5% | -1826  |
| 15     | 14       | 8      | 37.5% | -1852  |
| 21     | 29       | 8      | 37.5% | -1852  |
| 14     | 17       | 8      | 37.5% | -1853  |
| 16     | 30       | 8      | 37.5% | -1995  |
| 17     | 13       | 8      | 37.5% | -2155  |
| 10     | 12       | 8      | 37.5% | -2158  |
| 21     | 14       | 8      | 37.5% | -2177  |
| 10     | 14       | 8      | 37.5% | -2317  |
| 19     | 11       | 8      | 37.5% | -2418  |
| 9      | 29       | 8      | 37.5% | -2421  |
| 24     | 22       | 8      | 37.5% | -2473  |
| 17     | 29       | 8      | 37.5% | -2483  |
| 9      | 11       | 8      | 37.5% | -2486  |
| 16     | 14       | 8      | 37.5% | -2551  |
| 9      | 12       | 8      | 37.5% | -2600  |
| 10     | 29       | 8      | 37.5% | -2792  |
| 13     | 14       | 8      | 37.5% | -3003  |
| 10     | 30       | 8      | 37.5% | -3010  |
| 12     | 13       | 8      | 37.5% | -3016  |
| 13     | 13       | 8      | 37.5% | -3065  |
| 11     | 28       | 8      | 37.5% | -3110  |
| 17     | 17       | 8      | 37.5% | -3191  |
| 11     | 17       | 8      | 37.5% | -3354  |
| 12     | 28       | 8      | 37.5% | -3640  |
| 22     | 28       | 8      | 37.5% | -3656  |
| 12     | 27       | 8      | 37.5% | -3777  |
| 9      | 27       | 8      | 37.5% | -3949  |
| 19     | 17       | 8      | 37.5% | -4257  |
| 9      | 16       | 8      | 37.5% | -4267  |
| 21     | 12       | 8      | 37.5% | -4498  |
| 22     | 7        | 8      | 37.5% | -4582  |
| 20     | 15       | 8      | 37.5% | -4716  |
| 25     | 25       | 8      | 37.5% | -4986  |
| 25     | 29       | 8      | 37.5% | -5440  |
| 26     | 8        | 8      | 37.5% | -6292  |
| 29     | 14       | 6      | 33.3% | -153   |
| 29     | 26       | 6      | 33.3% | -231   |
| 29     | 15       | 6      | 33.3% | -572   |
| 28     | 19       | 6      | 33.3% | -604   |
| 27     | 29       | 6      | 33.3% | -848   |
| 27     | 24       | 6      | 33.3% | -1313  |
| 27     | 25       | 6      | 33.3% | -1657  |
| 26     | 24       | 6      | 33.3% | -2064  |
| 30     | 23       | 6      | 33.3% | -2350  |
| 27     | 22       | 6      | 33.3% | -2681  |
| 26     | 25       | 6      | 33.3% | -2870  |
| 19     | 5        | 3      | 33.3% | -3477  |
| 23     | 25       | 3      | 33.3% | -3923  |
| 24     | 16       | 6      | 33.3% | -4534  |
| 28     | 25       | 7      | 28.6% | -793   |
| 26     | 29       | 7      | 28.6% | -1797  |
| 23     | 19       | 7      | 28.6% | -6753  |
| 30     | 12       | 7      | 28.6% | -7046  |
| 23     | 27       | 8      | 25%   | -939   |
| 25     | 28       | 8      | 25%   | -5492  |
| 23     | 8        | 8      | 25%   | -5951  |
| 1      | 15       | N/A    | N/A   | N/A    |
| 1      | 16       | N/A    | N/A   | N/A    |
| 1      | 27       | N/A    | N/A   | N/A    |
| 2      | 9        | N/A    | N/A   | N/A    |
| 2      | 10       | N/A    | N/A   | N/A    |
| 2      | 12       | N/A    | N/A   | N/A    |
| 2      | 13       | N/A    | N/A   | N/A    |
| 2      | 14       | N/A    | N/A   | N/A    |
| 2      | 15       | N/A    | N/A   | N/A    |
| 2      | 16       | N/A    | N/A   | N/A    |
| 2      | 17       | N/A    | N/A   | N/A    |
