
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
| 19     | 18       | N/A    | N/A   | N/A    |
| 19     | 21       | N/A    | N/A   | N/A    |
| 19     | 22       | 0      | N/A   | 0      |
| 19     | 23       | 0      | N/A   | 0      |
| 19     | 25       | N/A    | N/A   | N/A    |
| 19     | 27       | N/A    | N/A   | N/A    |
| 19     | 28       | N/A    | N/A   | N/A    |
| 19     | 30       | N/A    | N/A   | N/A    |
| 19     | 29       | N/A    | N/A   | N/A    |
| 20     | 5        | N/A    | N/A   | N/A    |
| 20     | 8        | N/A    | N/A   | N/A    |
| 20     | 9        | N/A    | N/A   | N/A    |
| 20     | 10       | N/A    | N/A   | N/A    |
| 20     | 11       | N/A    | N/A   | N/A    |
| 20     | 13       | N/A    | N/A   | N/A    |
| 20     | 14       | N/A    | N/A   | N/A    |
| 20     | 12       | 0      | N/A   | 0      |
| 20     | 16       | N/A    | N/A   | N/A    |
| 20     | 17       | N/A    | N/A   | N/A    |
| 20     | 18       | N/A    | N/A   | N/A    |
| 20     | 19       | N/A    | N/A   | N/A    |
| 20     | 20       | N/A    | N/A   | N/A    |
| 20     | 21       | N/A    | N/A   | N/A    |
| 20     | 22       | 0      | N/A   | 0      |
| 20     | 23       | N/A    | N/A   | N/A    |
| 20     | 24       | N/A    | N/A   | N/A    |
| 20     | 25       | N/A    | N/A   | N/A    |
| 20     | 26       | N/A    | N/A   | N/A    |
| 20     | 27       | N/A    | N/A   | N/A    |
| 20     | 28       | N/A    | N/A   | N/A    |
| 20     | 30       | N/A    | N/A   | N/A    |
| 21     | 9        | N/A    | N/A   | N/A    |
| 21     | 11       | N/A    | N/A   | N/A    |
| 21     | 10       | N/A    | N/A   | N/A    |
| 21     | 13       | N/A    | N/A   | N/A    |
| 21     | 15       | N/A    | N/A   | N/A    |
| 21     | 16       | N/A    | N/A   | N/A    |
| 21     | 17       | N/A    | N/A   | N/A    |
| 21     | 18       | N/A    | N/A   | N/A    |
| 21     | 19       | N/A    | N/A   | N/A    |
| 21     | 22       | N/A    | N/A   | N/A    |
| 21     | 23       | N/A    | N/A   | N/A    |
| 21     | 24       | N/A    | N/A   | N/A    |
| 21     | 25       | N/A    | N/A   | N/A    |
| 21     | 26       | N/A    | N/A   | N/A    |
| 21     | 27       | N/A    | N/A   | N/A    |
| 21     | 28       | N/A    | N/A   | N/A    |
| 21     | 30       | N/A    | N/A   | N/A    |
| 22     | 6        | N/A    | N/A   | N/A    |
| 22     | 5        | N/A    | N/A   | N/A    |
| 22     | 8        | N/A    | N/A   | N/A    |
| 22     | 9        | 0      | N/A   | 0      |
| 22     | 13       | N/A    | N/A   | N/A    |
| 22     | 14       | N/A    | N/A   | N/A    |
| 22     | 15       | N/A    | N/A   | N/A    |
| 22     | 16       | N/A    | N/A   | N/A    |
| 22     | 17       | N/A    | N/A   | N/A    |
| 22     | 18       | N/A    | N/A   | N/A    |
| 22     | 20       | N/A    | N/A   | N/A    |
| 22     | 21       | N/A    | N/A   | N/A    |
| 22     | 22       | N/A    | N/A   | N/A    |
| 22     | 23       | N/A    | N/A   | N/A    |
| 22     | 24       | N/A    | N/A   | N/A    |
| 22     | 25       | N/A    | N/A   | N/A    |
| 22     | 27       | N/A    | N/A   | N/A    |
| 22     | 26       | 0      | N/A   | 0      |
| 22     | 29       | N/A    | N/A   | N/A    |
| 22     | 30       | N/A    | N/A   | N/A    |
| 23     | 5        | N/A    | N/A   | N/A    |
| 23     | 6        | N/A    | N/A   | N/A    |
| 23     | 7        | N/A    | N/A   | N/A    |
| 23     | 9        | 0      | N/A   | 0      |
| 23     | 10       | 0      | N/A   | 0      |
| 23     | 11       | N/A    | N/A   | N/A    |
| 23     | 12       | N/A    | N/A   | N/A    |
| 23     | 13       | N/A    | N/A   | N/A    |
| 23     | 14       | N/A    | N/A   | N/A    |
| 23     | 15       | N/A    | N/A   | N/A    |
| 23     | 16       | N/A    | N/A   | N/A    |
| 23     | 17       | N/A    | N/A   | N/A    |
| 23     | 18       | N/A    | N/A   | N/A    |
| 23     | 21       | N/A    | N/A   | N/A    |
| 23     | 22       | N/A    | N/A   | N/A    |
| 23     | 23       | N/A    | N/A   | N/A    |
| 23     | 24       | N/A    | N/A   | N/A    |
| 23     | 26       | N/A    | N/A   | N/A    |
| 23     | 28       | N/A    | N/A   | N/A    |
| 23     | 29       | N/A    | N/A   | N/A    |
| 23     | 30       | N/A    | N/A   | N/A    |
| 24     | 6        | N/A    | N/A   | N/A    |
| 24     | 7        | N/A    | N/A   | N/A    |
| 24     | 8        | N/A    | N/A   | N/A    |
| 24     | 9        | N/A    | N/A   | N/A    |
| 24     | 11       | N/A    | N/A   | N/A    |
| 24     | 12       | N/A    | N/A   | N/A    |
| 24     | 13       | N/A    | N/A   | N/A    |
| 24     | 14       | N/A    | N/A   | N/A    |
| 24     | 15       | N/A    | N/A   | N/A    |
| 24     | 18       | N/A    | N/A   | N/A    |
| 24     | 17       | 0      | N/A   | 0      |
| 24     | 19       | N/A    | N/A   | N/A    |
| 24     | 20       | N/A    | N/A   | N/A    |
| 24     | 21       | N/A    | N/A   | N/A    |
| 24     | 23       | N/A    | N/A   | N/A    |
| 24     | 24       | N/A    | N/A   | N/A    |
| 24     | 25       | N/A    | N/A   | N/A    |
| 24     | 26       | N/A    | N/A   | N/A    |
| 24     | 28       | N/A    | N/A   | N/A    |
| 24     | 29       | N/A    | N/A   | N/A    |
| 24     | 30       | N/A    | N/A   | N/A    |
| 25     | 5        | N/A    | N/A   | N/A    |
| 25     | 6        | N/A    | N/A   | N/A    |
| 25     | 7        | 0      | N/A   | 0      |
| 25     | 8        | N/A    | N/A   | N/A    |
| 25     | 9        | N/A    | N/A   | N/A    |
| 25     | 10       | N/A    | N/A   | N/A    |
| 25     | 11       | N/A    | N/A   | N/A    |
| 25     | 12       | N/A    | N/A   | N/A    |
| 25     | 13       | N/A    | N/A   | N/A    |
| 25     | 14       | N/A    | N/A   | N/A    |
| 25     | 16       | N/A    | N/A   | N/A    |
| 25     | 18       | N/A    | N/A   | N/A    |
| 25     | 15       | 0      | N/A   | 0      |
| 25     | 17       | 0      | N/A   | 0      |
| 25     | 20       | N/A    | N/A   | N/A    |
| 25     | 21       | N/A    | N/A   | N/A    |
| 25     | 19       | 0      | N/A   | 0      |
| 25     | 23       | N/A    | N/A   | N/A    |
| 25     | 22       | N/A    | N/A   | N/A    |
| 25     | 24       | N/A    | N/A   | N/A    |
| 25     | 26       | N/A    | N/A   | N/A    |
| 25     | 30       | N/A    | N/A   | N/A    |
| 25     | 27       | 0      | N/A   | 0      |
| 26     | 5        | N/A    | N/A   | N/A    |
| 26     | 6        | N/A    | N/A   | N/A    |
| 26     | 7        | N/A    | N/A   | N/A    |
| 26     | 10       | N/A    | N/A   | N/A    |
| 26     | 9        | N/A    | N/A   | N/A    |
| 26     | 12       | N/A    | N/A   | N/A    |
| 26     | 13       | N/A    | N/A   | N/A    |
| 26     | 11       | 0      | N/A   | 0      |
| 26     | 15       | N/A    | N/A   | N/A    |
| 26     | 14       | 0      | N/A   | 0      |
| 26     | 16       | N/A    | N/A   | N/A    |
| 26     | 18       | N/A    | N/A   | N/A    |
| 26     | 19       | N/A    | N/A   | N/A    |
| 26     | 22       | N/A    | N/A   | N/A    |
| 26     | 23       | N/A    | N/A   | N/A    |
| 26     | 26       | N/A    | N/A   | N/A    |
| 26     | 27       | N/A    | N/A   | N/A    |
| 26     | 28       | N/A    | N/A   | N/A    |
| 26     | 30       | N/A    | N/A   | N/A    |
| 27     | 5        | N/A    | N/A   | N/A    |
| 27     | 8        | N/A    | N/A   | N/A    |
| 27     | 9        | N/A    | N/A   | N/A    |
| 27     | 7        | 0      | N/A   | 0      |
| 27     | 10       | N/A    | N/A   | N/A    |
| 27     | 11       | N/A    | N/A   | N/A    |
| 27     | 13       | N/A    | N/A   | N/A    |
| 27     | 12       | 0      | N/A   | 0      |
| 27     | 15       | N/A    | N/A   | N/A    |
| 27     | 16       | N/A    | N/A   | N/A    |
| 27     | 18       | N/A    | N/A   | N/A    |
| 27     | 19       | N/A    | N/A   | N/A    |
| 27     | 20       | N/A    | N/A   | N/A    |
| 27     | 14       | 0      | N/A   | 0      |
| 27     | 23       | N/A    | N/A   | N/A    |
| 27     | 26       | N/A    | N/A   | N/A    |
| 27     | 27       | N/A    | N/A   | N/A    |
| 27     | 30       | N/A    | N/A   | N/A    |
| 28     | 5        | N/A    | N/A   | N/A    |
| 28     | 6        | N/A    | N/A   | N/A    |
| 28     | 8        | N/A    | N/A   | N/A    |
| 28     | 9        | N/A    | N/A   | N/A    |
| 28     | 12       | N/A    | N/A   | N/A    |
| 28     | 13       | N/A    | N/A   | N/A    |
| 28     | 14       | N/A    | N/A   | N/A    |
| 28     | 15       | N/A    | N/A   | N/A    |
| 28     | 17       | N/A    | N/A   | N/A    |
| 28     | 20       | N/A    | N/A   | N/A    |
| 28     | 21       | N/A    | N/A   | N/A    |
| 28     | 16       | 0      | N/A   | 0      |
| 28     | 23       | N/A    | N/A   | N/A    |
| 28     | 24       | N/A    | N/A   | N/A    |
| 28     | 27       | N/A    | N/A   | N/A    |
| 28     | 28       | N/A    | N/A   | N/A    |
| 28     | 26       | 0      | N/A   | 0      |
| 28     | 29       | N/A    | N/A   | N/A    |
| 28     | 30       | N/A    | N/A   | N/A    |
| 29     | 5        | N/A    | N/A   | N/A    |
| 29     | 6        | N/A    | N/A   | N/A    |
| 29     | 8        | N/A    | N/A   | N/A    |
| 29     | 9        | N/A    | N/A   | N/A    |
| 29     | 12       | N/A    | N/A   | N/A    |
| 29     | 13       | N/A    | N/A   | N/A    |
| 29     | 16       | N/A    | N/A   | N/A    |
| 29     | 17       | N/A    | N/A   | N/A    |
| 29     | 18       | N/A    | N/A   | N/A    |
| 29     | 19       | N/A    | N/A   | N/A    |
| 29     | 20       | N/A    | N/A   | N/A    |
| 29     | 21       | N/A    | N/A   | N/A    |
| 29     | 24       | N/A    | N/A   | N/A    |
| 29     | 25       | N/A    | N/A   | N/A    |
| 29     | 27       | N/A    | N/A   | N/A    |
| 29     | 28       | N/A    | N/A   | N/A    |
| 29     | 29       | 0      | N/A   | 0      |
| 29     | 30       | N/A    | N/A   | N/A    |
| 30     | 5        | N/A    | N/A   | N/A    |
| 30     | 6        | N/A    | N/A   | N/A    |
| 30     | 7        | N/A    | N/A   | N/A    |
| 30     | 8        | N/A    | N/A   | N/A    |
| 30     | 9        | N/A    | N/A   | N/A    |
| 30     | 10       | N/A    | N/A   | N/A    |
| 30     | 13       | 0      | N/A   | 0      |
| 30     | 14       | 0      | N/A   | 0      |
| 30     | 15       | N/A    | N/A   | N/A    |
| 30     | 16       | N/A    | N/A   | N/A    |
| 30     | 17       | N/A    | N/A   | N/A    |
| 30     | 18       | N/A    | N/A   | N/A    |
| 30     | 19       | N/A    | N/A   | N/A    |
| 30     | 20       | N/A    | N/A   | N/A    |
| 30     | 21       | N/A    | N/A   | N/A    |
| 30     | 22       | N/A    | N/A   | N/A    |
| 30     | 26       | N/A    | N/A   | N/A    |
| 30     | 25       | 0      | N/A   | 0      |
| 30     | 27       | N/A    | N/A   | N/A    |
| 30     | 30       | N/A    | N/A   | N/A    |
+--------+----------+--------+-------+--------+
