token,ltp,ltt
71987,109,1755834311
72036,49.3,1755834311
71971,55.6,1755834311
71973,70.7,1755834311
71990,83.05,1755834311
71987,110,1755834311
71969,44.25,1755834311
71989,135,1755834311
71988,103.7,1755834311
72036,48.5,1755834311
71971,55.55,1755834311
71975,88.2,1755834312
72040,27.05,1755834312
72038,36.35,1755834312
71973,71.05,1755834312
71992,63.65,1755834312
71969,44,1755834312
72036,48.4,1755834312
71971,56,1755834312
71990,81.5,1755834312
71987,110.5,1755834312
71989,135.45,1755834312
71988,102.7,1755834312
71989,135.65,1755834312
71975,89.05,1755834312
72040,27.1,1755834312
71988,102.55,1755834312
71975,88.95,1755834313
72040,27.3,1755834313
72038,36.5,1755834313
71973,71.45,1755834313
72038,36.3,1755834313
71973,71.35,1755834313
71992,63.1,1755834313
71969,44.55,1755834313
71987,111.6,1755834313
71969,45.25,1755834313
71990,81.1,1755834313
72036,47.7,1755834313
71971,56.95,1755834313
71992,62.5,1755834313
72036,47.9,1755834313
71971,57.1,1755834313
71990,80.75,1755834313
71987,113.4,1755834313
71989,137.9,1755834313
71988,101.55,1755834313
71975,91.3,1755834314
72040,26.65,1755834314
72038,35.35,1755834314
71973,73.25,1755834314
71989,138.65,1755834314
71988,100.15,1755834314
71992,61.95,1755834314
71969,46.2,1755834314
71975,91.15,1755834314
72040,26.75,1755834314
72036,47.1,1755834314
71971,58.35,1755834314
71990,79.75,1755834314
71987,113.6,1755834314
71988,100.55,1755834314
72038,35.6,1755834314
71973,74,1755834314
71987,113.05,1755834314
71990,79.6,1755834314
72036,46.95,1755834315
71971,58,1755834315
71969,46.05,1755834315
71975,91.75,1755834315
72040,26.4,1755834315
72038,35.2,1755834315
71973,73.1,1755834315
71992,61.15,1755834315
71969,45.9,1755834315
72036,46.65,1755834315
71971,57.75,1755834315
71990,79.3,1755834315
71987,112.4,1755834315
71989,138.1,1755834315
71988,100.1,1755834315
71989,138.25,1755834315
71988,99.85,1755834315
71975,91.05,1755834316
72040,26.05,1755834316
72038,34.8,1755834316
71973,73.25,1755834316
72040,26.15,1755834316
71992,60.95,1755834316
71969,45.5,1755834316
72038,35.1,1755834316
71992,60.7,1755834316
71987,112.7,1755834316
72036,46.25,1755834316
71973,72.95,1755834316
71990,78.3,1755834316
71990,78.15,1755834316
71987,112.85,1755834316
71969,45.25,1755834316
71989,138.1,1755834316
71988,98.9,1755834316
72036,46.2,1755834316
71971,57.65,1755834316
71975,90.6,1755834317
72040,25.9,1755834317
72038,34.6,1755834317
71973,72.35,1755834317
71992,60.2,1755834317
71969,45.35,1755834317
71988,98.7,1755834317
72036,45.9,1755834317
71971,57.55,1755834317
71990,77.55,1755834317
71987,112.65,1755834317
71988,98.2,1755834317
72040,25.65,1755834317
71975,90,1755834318
72038,34.45,1755834318
71973,72.15,1755834318
72038,34.5,1755834318
71973,71.95,1755834318
71992,60.25,1755834318
71969,44.65,1755834318
71987,111.75,1755834318
71992,60.3,1755834318
71969,44.75,1755834318
71990,77.7,1755834318
72036,45.95,1755834318
