ltp,ltt
22974.75,1738042351
22974.75,1738042351
22973.80,1738042352
22973.35,1738042352
22973.80,1738042353
22974.35,1738042353
22973.80,1738042354
22974.35,1738042354
22974.90,1738042355
22974.75,1738042355
22975.95,1738042356
22976.30,1738042356
22977.30,1738042357
22978.50,1738042357
22979.60,1738042358
22984.30,1738042358
22985.75,1738042359
22985.95,1738042359
22984.90,1738042360
22982.60,1738042360
22982.10,1738042361
22983.50,1738042361
22983.10,1738042362
22984.10,1738042362
22984.30,1738042363
22983.05,1738042363
22983.30,1738042364
22983.45,1738042364
22979.30,1738042365
22980.10,1738042365
22979.90,1738042366
22978.65,1738042366
22976.35,1738042367
22977.50,1738042367
22975.65,1738042368
22975.95,1738042368
22975.75,1738042369
22973.85,1738042369
22974.65,1738042370
22974.15,1738042370
22973.75,1738042371
22975.80,1738042371
22974.50,1738042372
22974.10,1738042372
22974.00,1738042373
22973.45,1738042373
22973.65,1738042374
22974.45,1738042374
22974.60,1738042375
22976.45,1738042375
22976.40,1738042376
22977.75,1738042376
22976.15,1738042377
22976.45,1738042377
22977.10,1738042378
22975.30,1738042378
22974.60,1738042379
22974.90,1738042379
22975.25,1738042380
22974.55,1738042380
22975.75,1738042381
22974.05,1738042381
22973.65,1738042382
22973.70,1738042382
22971.80,1738042383
22971.85,1738042384
22972.85,1738042384
22972.60,1738042385
22972.10,1738042385
22972.50,1738042386
22972.75,1738042386
22971.65,1738042387
22972.40,1738042387
22971.25,1738042388
22971.30,1738042388
22971.85,1738042389
22973.20,1738042389
22972.30,1738042390
22972.80,1738042390
22972.10,1738042391
22973.55,1738042391
22973.35,1738042392
22973.70,1738042392
22974.35,1738042393
22973.65,1738042393
22974.35,1738042394
22972.20,1738042394
22971.45,1738042395
22969.60,1738042395
22972.65,1738042396
22971.70,1738042396
22971.10,1738042397
22970.05,1738042397
22971.95,1738042398
22971.40,1738042398
22970.60,1738042399
22971.10,1738042399
22971.05,1738042400
22971.95,1738042400
22971.50,1738042401
22970.65,1738042401
22971.00,1738042402
22969.85,1738042402
22972.65,1738042403
22971.40,1738042403
22969.95,1738042404
22971.00,1738042404
22970.30,1738042405
22970.90,1738042405
22969.45,1738042406
22972.05,1738042406
22969.90,1738042407
22972.65,1738042407
22970.35,1738042408
22968.80,1738042408
22967.30,1738042409
22965.20,1738042409
22966.00,1738042410
22965.45,1738042410
22964.75,1738042411
22965.10,1738042411
22964.80,1738042412
22964.95,1738042412
22964.85,1738042413
22964.50,1738042413
22963.75,1738042414
22963.10,1738042414
22962.50,1738042415
22964.05,1738042415
22962.30,1738042416
22963.45,1738042416
22962.85,1738042417
22963.55,1738042417
22962.65,1738042418
22962.25,1738042419
22965.50,1738042419
22964.50,1738042420
22965.15,1738042420
22963.85,1738042421
22963.40,1738042421
22964.15,1738042422
22964.30,1738042422
22963.50,1738042423
22964.45,1738042423
22963.35,1738042424
22962.95,1738042424
22961.70,1738042425
22961.75,1738042425
22961.50,1738042426
22960.35,1738042426
22960.95,1738042427
22964.25,1738042427
22963.25,1738042428
22965.45,1738042428
22963.40,1738042429
22962.95,1738042429
22962.15,1738042430
22963.20,1738042430
22961.05,1738042431
22961.50,1738042431
22961.00,1738042432
22960.70,1738042432
22962.05,1738042433
22962.90,1738042434
22965.35,1738042434
22965.20,1738042435
22966.65,1738042435
22966.40,1738042436
22965.20,1738042436
22964.65,1738042437
22965.35,1738042437
22965.90,1738042438
22966.45,1738042439
22966.20,1738042439
22965.10,1738042440
22968.15,1738042440
22965.80,1738042441
22967.90,1738042441
22968.30,1738042442
22966.95,1738042442
22967.55,1738042443
22967.90,1738042443
22966.95,1738042444
22968.05,1738042444
22966.85,1738042445
22965.95,1738042445
22966.95,1738042446
22965.80,1738042446
22963.75,1738042447
22964.20,1738042447
22964.70,1738042448
22963.95,1738042448
22963.20,1738042449
22963.05,1738042449
22962.15,1738042450
22959.80,1738042450
22959.75,1738042451
22958.95,1738042451
22958.00,1738042452
22957.50,1738042452
22957.40,1738042453
22958.00,1738042453
22956.80,1738042454
22958.30,1738042454
22958.70,1738042455
22959.20,1738042455
22959.25,1738042456
22959.80,1738042456
22959.30,1738042457
22959.40,1738042457
22958.95,1738042458
22958.50,1738042458
22959.20,1738042459
22958.15,1738042460
22957.35,1738042460
22958.30,1738042461
22956.00,1738042461
22955.45,1738042462
22956.20,1738042462
22955.35,1738042463
22953.25,1738042463
22952.30,1738042464
22954.40,1738042464
