feature,avg_importance,rank
range,0.259654,1
Bollinger_5_1__AND__EMA_5_13,0.225508,2
Bollinger_5_1__AND__EMA_15_35,0.19578,3
MACD_24_48_18__AND__Bollinger_5_1,0.184082,4
MACD_16_32_12__AND__ADX_20,0.17338,5
MACD_8_16_6__AND__Bollinger_5_1,0.170746,6
RSI_10_70_30__AND__MACD_4_8_3,0.169269,7
stddev,0.162872,8
EMA_24_56__AND__ADX_20,0.161428,9
EMA_21_49__AND__ADX_20,0.154135,10
EMA_9_21__AND__ADX_14,0.147769,11
MACD_20_40_15__AND__Stoch_14_3,0.142393,12
EMA_12_28__AND__RSI_5_70_30_REV,0.14143,13
Bollinger_5_1__AND__EMA_9_21,0.140558,14
MACD_4_8_3__AND__ADX_14,0.137394,15
Bollinger_5_1__AND__EMA_12_28,0.133324,16
MACD_8_16_6__AND__ADX_14,0.131905,17
MACD_12_26_9,0.12084,18
Bollinger_5_1__AND__ADX_20,0.120228,19
EMA_21_49__AND__RSI_10_70_30_REV,0.119615,20
EMA_18_42__AND__RSI_5_70_30_REV,0.118953,21
RSI_5_70_30,0.116084,22
EMA_27_63__AND__ADX_14,0.111427,23
Bollinger_10_1__AND__ADX_20,0.110317,24
EMA_15_35__AND__RSI_5_70_30_REV,0.109592,25
EMA_12_28__AND__ADX_14,0.109339,26
EMA_12_28__AND__RSI_10_70_30_REV,0.105204,27
Bollinger_10_1__AND__EMA_30_70,0.10396,28
Bollinger_10_2__AND__RSI_5_90_10_REV,0.100748,29
Bollinger_5_1__AND__EMA_18_42,0.09934,30
MACD_12_26_9__AND__Bollinger_5_1,0.097972,31
Bollinger_10_1__AND__EMA_12_28,0.097568,32
Bollinger_5_1__AND__EMA_21_49,0.097318,33
Bollinger_5_1.5__AND__ADX_20,0.097242,34
Bollinger_10_1.5__AND__EMA_5_13,0.096078,35
RSI_10_80_20__AND__MACD_4_8_3,0.095974,36
Bollinger_10_1__AND__EMA_5_13,0.094369,37
MACD_4_8_3,0.093806,38
EMA_12_28__AND__RSI_5_80_20_REV,0.093084,39
Bollinger_25_1__AND__EMA_21_49,0.090494,40
Bollinger_5_1,0.089716,41
MACD_20_40_15__AND__Bollinger_5_1,0.088647,42
EMA_18_42__AND__RSI_15_70_30_REV,0.088045,43
EMA_18_42__AND__RSI_5_80_20_REV,0.088043,44
MACD_12_24_9__AND__Bollinger_5_1,0.08627,45
Bollinger_30_1__AND__EMA_9_21,0.084404,46
EMA_5_13__AND__Stoch_14_3,0.083818,47
Bollinger_5_1.5__AND__EMA_15_35,0.08334,48
Bollinger_20_1__AND__EMA_9_21,0.083154,49
Bollinger_15_1__AND__EMA_30_70,0.081292,50
