indicator,good,bad,oscillating,total,success_rate,interval_label
RSI_5_90_10,1,0,0,1,100,5min
RSI_14_70_30,9,0,1,9,100,5min
RSI_15_70_30,9,0,1,9,100,5min
RSI_20_70_30,5,0,1,5,100,5min
RSI_25_70_30,3,0,1,3,100,5min
RSI_5_70_30__AND__RSI_5_90_10,1,0,0,1,100,5min
RSI_5_70_30__AND__RSI_14_70_30,6,0,1,6,100,5min
RSI_5_70_30__AND__RSI_15_70_30,6,0,1,6,100,5min
RSI_5_70_30__AND__RSI_20_70_30,4,0,1,4,100,5min
RSI_5_70_30__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_5_70_30__AND__MACD_12_26_9,1,0,0,1,100,5min
RSI_5_70_30__AND__MACD_16_32_12,2,0,0,2,100,5min
RSI_5_70_30__AND__MACD_20_40_15,2,0,0,2,100,5min
RSI_5_70_30__AND__EMA_12_28,6,0,0,6,100,5min
RSI_5_70_30__AND__EMA_15_35,5,0,0,5,100,5min
RSI_5_70_30__AND__EMA_18_42,5,0,0,5,100,5min
RSI_5_70_30__AND__EMA_24_56,4,0,0,4,100,5min
RSI_5_70_30__AND__EMA_27_63,2,0,1,2,100,5min
RSI_5_70_30__AND__EMA_30_70,3,0,0,3,100,5min
RSI_5_80_20__AND__RSI_5_90_10,1,0,0,1,100,5min
RSI_5_80_20__AND__RSI_14_70_30,6,0,1,6,100,5min
RSI_5_80_20__AND__RSI_15_70_30,6,0,1,6,100,5min
RSI_5_80_20__AND__RSI_20_70_30,4,0,1,4,100,5min
RSI_5_80_20__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_5_80_20__AND__EMA_5_13,4,0,0,4,100,5min
RSI_5_80_20__AND__EMA_9_21,5,0,1,5,100,5min
RSI_5_80_20__AND__EMA_12_28,5,0,0,5,100,5min
RSI_5_80_20__AND__EMA_15_35,2,0,0,2,100,5min
RSI_5_80_20__AND__EMA_18_42,4,0,0,4,100,5min
RSI_5_80_20__AND__EMA_21_49,3,0,0,3,100,5min
RSI_5_80_20__AND__EMA_24_56,4,0,0,4,100,5min
RSI_5_80_20__AND__EMA_27_63,1,0,0,1,100,5min
RSI_5_80_20__AND__EMA_30_70,3,0,0,3,100,5min
RSI_5_80_20__AND__ADX_14,2,0,0,2,100,5min
RSI_5_80_20__AND__ADX_20,2,0,0,2,100,5min
RSI_5_90_10__AND__RSI_10_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_10_80_20,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_14_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_15_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_20_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_25_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__EMA_18_42,1,0,0,1,100,5min
RSI_5_90_10__AND__EMA_24_56,1,0,0,1,100,5min
RSI_10_70_30__AND__RSI_14_70_30,6,0,1,6,100,5min
RSI_10_70_30__AND__RSI_15_70_30,6,0,1,6,100,5min
RSI_10_70_30__AND__RSI_20_70_30,4,0,1,4,100,5min
RSI_10_70_30__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_10_70_30__AND__EMA_5_13,4,0,1,4,100,5min
RSI_10_70_30__AND__EMA_9_21,5,0,1,5,100,5min
RSI_10_70_30__AND__EMA_12_28,5,0,0,5,100,5min
RSI_10_70_30__AND__EMA_15_35,3,0,0,3,100,5min
RSI_10_70_30__AND__EMA_18_42,4,0,0,4,100,5min
RSI_10_70_30__AND__EMA_21_49,2,0,0,2,100,5min
RSI_10_70_30__AND__EMA_24_56,4,0,0,4,100,5min
RSI_10_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_10_70_30__AND__EMA_30_70,3,0,0,3,100,5min
RSI_10_70_30__AND__ADX_14,1,0,0,1,100,5min
RSI_10_70_30__AND__ADX_20,1,0,0,1,100,5min
RSI_10_80_20__AND__RSI_14_70_30,4,0,1,4,100,5min
RSI_10_80_20__AND__RSI_15_70_30,4,0,1,4,100,5min
RSI_10_80_20__AND__RSI_20_70_30,4,0,1,4,100,5min
RSI_10_80_20__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_10_80_20__AND__EMA_5_13,3,0,0,3,100,5min
RSI_10_80_20__AND__EMA_9_21,3,0,1,3,100,5min
RSI_10_80_20__AND__EMA_12_28,3,0,0,3,100,5min
RSI_10_80_20__AND__EMA_15_35,1,0,0,1,100,5min
RSI_10_80_20__AND__EMA_18_42,4,0,0,4,100,5min
RSI_10_80_20__AND__EMA_21_49,1,0,0,1,100,5min
RSI_10_80_20__AND__EMA_24_56,3,0,0,3,100,5min
RSI_10_80_20__AND__EMA_27_63,1,0,0,1,100,5min
RSI_10_80_20__AND__EMA_30_70,3,0,0,3,100,5min
RSI_14_70_30__AND__RSI_15_70_30,8,0,1,8,100,5min
