indicator,good,bad,oscillating,total,success_rate,interval_label
RSI_14_70_30__AND__RSI_20_70_30,5,0,1,5,100,5min
RSI_14_70_30__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_14_70_30__AND__MACD_4_8_3,1,0,1,1,100,5min
RSI_14_70_30__AND__Bollinger_5_1,1,0,1,1,100,5min
RSI_14_70_30__AND__EMA_5_13,4,0,1,4,100,5min
RSI_14_70_30__AND__EMA_9_21,4,0,1,4,100,5min
RSI_14_70_30__AND__EMA_12_28,4,0,0,4,100,5min
RSI_14_70_30__AND__EMA_15_35,1,0,0,1,100,5min
RSI_14_70_30__AND__EMA_18_42,4,0,0,4,100,5min
RSI_14_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_14_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_14_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_14_70_30__AND__EMA_30_70,3,0,0,3,100,5min
RSI_15_70_30__AND__RSI_20_70_30,5,0,1,5,100,5min
RSI_15_70_30__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_15_70_30__AND__MACD_4_8_3,1,0,1,1,100,5min
RSI_15_70_30__AND__Bollinger_5_1,1,0,1,1,100,5min
RSI_15_70_30__AND__EMA_5_13,4,0,1,4,100,5min
RSI_15_70_30__AND__EMA_9_21,4,0,1,4,100,5min
RSI_15_70_30__AND__EMA_12_28,4,0,0,4,100,5min
RSI_15_70_30__AND__EMA_15_35,1,0,0,1,100,5min
RSI_15_70_30__AND__EMA_18_42,4,0,0,4,100,5min
RSI_15_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_15_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_15_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_15_70_30__AND__EMA_30_70,3,0,0,3,100,5min
RSI_20_70_30__AND__RSI_25_70_30,3,0,1,3,100,5min
RSI_20_70_30__AND__EMA_5_13,2,0,0,2,100,5min
RSI_20_70_30__AND__EMA_9_21,4,0,1,4,100,5min
RSI_20_70_30__AND__EMA_12_28,3,0,0,3,100,5min
RSI_20_70_30__AND__EMA_15_35,1,0,0,1,100,5min
RSI_20_70_30__AND__EMA_18_42,4,0,0,4,100,5min
RSI_20_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_20_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_20_70_30__AND__EMA_27_63,1,0,0,1,100,5min
RSI_20_70_30__AND__EMA_30_70,3,0,0,3,100,5min
RSI_25_70_30__AND__EMA_5_13,1,0,0,1,100,5min
RSI_25_70_30__AND__EMA_9_21,2,0,1,2,100,5min
RSI_25_70_30__AND__EMA_12_28,2,0,0,2,100,5min
RSI_25_70_30__AND__EMA_15_35,1,0,0,1,100,5min
RSI_25_70_30__AND__EMA_18_42,3,0,0,3,100,5min
RSI_25_70_30__AND__EMA_24_56,2,0,0,2,100,5min
RSI_25_70_30__AND__EMA_27_63,1,0,0,1,100,5min
RSI_25_70_30__AND__EMA_30_70,2,0,0,2,100,5min
Bollinger_15_1.5__AND__EMA_18_42,2,0,0,2,100,5min
EMA_5_13__AND__EMA_24_56,4,0,1,4,100,5min
EMA_15_35__AND__EMA_24_56,3,0,1,3,100,5min
EMA_18_42__AND__EMA_30_70,3,0,1,3,100,5min
EMA_24_56__AND__EMA_30_70,2,0,1,2,100,5min
RSI_10_70_30,8,1,1,9,88.89,5min
RSI_5_70_30__AND__RSI_10_70_30,8,1,1,9,88.89,5min
RSI_5_80_20__AND__RSI_10_70_30,7,1,1,8,87.5,5min
RSI_5_70_30__AND__EMA_9_21,6,1,1,7,85.71,5min
RSI_5_70_30__AND__EMA_5_13,5,1,1,6,83.33,5min
EMA_9_21__AND__EMA_24_56,5,1,1,6,83.33,5min
RSI_5_80_20,8,2,1,10,80,5min
RSI_10_80_20,4,1,1,5,80,5min
RSI_5_70_30__AND__RSI_5_80_20,8,2,1,10,80,5min
RSI_5_70_30__AND__RSI_10_80_20,4,1,1,5,80,5min
RSI_5_70_30__AND__EMA_21_49,4,1,0,5,80,5min
RSI_5_80_20__AND__RSI_10_80_20,4,1,1,5,80,5min
RSI_10_70_30__AND__RSI_10_80_20,4,1,1,5,80,5min
MACD_4_8_3__AND__EMA_18_42,4,1,0,5,80,5min
EMA_30_70,3,1,1,4,75,5min
EMA_9_21__AND__EMA_18_42,6,2,1,8,75,5min
EMA_9_21__AND__EMA_30_70,3,1,1,4,75,5min
EMA_12_28__AND__EMA_30_70,3,1,1,4,75,5min
RSI_5_70_30,10,4,1,14,71.43,5min
EMA_18_42,8,4,1,12,66.67,5min
Bollinger_20_1__AND__EMA_18_42,2,1,1,3,66.67,5min
Bollinger_20_1.5__AND__EMA_18_42,2,1,1,3,66.67,5min
EMA_5_13__AND__EMA_30_70,2,1,1,3,66.67,5min
EMA_12_28__AND__EMA_18_42,6,3,1,9,66.67,5min
EMA_12_28__AND__EMA_24_56,4,2,1,6,66.67,5min
EMA_18_42__AND__EMA_24_56,4,2,1,6,66.67,5min
EMA_18_42__AND__EMA_27_63,2,1,1,3,66.67,5min
EMA_9_21__AND__EMA_15_35,7,4,1,11,63.64,5min
EMA_9_21,12,7,1,19,63.16,5min
EMA_24_56,5,3,1,8,62.5,5min
EMA_15_35__AND__EMA_18_42,5,3,1,8,62.5,5min
MACD_4_8_3__AND__EMA_24_56,3,2,0,5,60,5min
MACD_16_32_12__AND__EMA_18_42,3,2,1,5,60,5min
MACD_16_32_12__AND__EMA_24_56,3,2,1,5,60,5min
MACD_20_40_15__AND__EMA_24_56,3,2,1,5,60,5min
MACD_16_32_12__AND__EMA_12_28,4,3,1,7,57.14,5min
EMA_5_13__AND__EMA_18_42,4,3,1,7,57.14,5min
EMA_9_21__AND__EMA_21_49,4,3,1,7,57.14,5min
MACD_16_32_12__AND__EMA_15_35,5,4,1,9,55.56,5min
EMA_12_28,9,8,1,17,52.94,5min
MACD_16_32_12,5,5,1,10,50,5min
RSI_5_70_30__AND__ADX_14,1,1,0,2,50,5min
RSI_5_70_30__AND__ADX_20,1,1,0,2,50,5min
MACD_4_8_3__AND__EMA_12_28,5,5,0,10,50,5min
MACD_4_8_3__AND__EMA_21_49,3,3,0,6,50,5min
MACD_16_32_12__AND__EMA_5_13,4,4,1,8,50,5min
MACD_24_48_18__AND__EMA_9_21,1,1,1,2,50,5min
MACD_24_48_18__AND__EMA_24_56,1,1,1,2,50,5min
Bollinger_5_1__AND__EMA_24_56,1,1,0,2,50,5min
Bollinger_5_1.5__AND__EMA_9_21,2,2,0,4,50,5min
Bollinger_5_1.5__AND__EMA_21_49,1,1,0,2,50,5min
Bollinger_10_1__AND__EMA_18_42,2,2,1,4,50,5min
Bollinger_10_2__AND__EMA_21_49,1,1,0,2,50,5min
Bollinger_15_1__AND__EMA_18_42,2,2,1,4,50,5min
Bollinger_15_1.5__AND__EMA_24_56,1,1,0,2,50,5min
Bollinger_20_1__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_20_1.5__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_20_2__AND__EMA_18_42,1,1,0,2,50,5min
Bollinger_20_2__AND__EMA_24_56,1,1,0,2,50,5min
Bollinger_25_1__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_25_1.5__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_25_2__AND__EMA_12_28,1,1,1,2,50,5min
Bollinger_25_2__AND__EMA_18_42,1,1,1,2,50,5min
Bollinger_25_2__AND__EMA_24_56,1,1,1,2,50,5min
Bollinger_30_1__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_30_1.5__AND__EMA_24_56,2,2,1,4,50,5min
Bollinger_30_2__AND__EMA_12_28,1,1,1,2,50,5min
Bollinger_30_2__AND__EMA_18_42,1,1,1,2,50,5min
Bollinger_30_2__AND__EMA_24_56,1,1,1,2,50,5min
EMA_9_21__AND__EMA_12_28,6,6,1,12,50,5min
EMA_9_21__AND__EMA_27_63,2,2,0,4,50,5min
EMA_9_21__AND__RSI_10_70_30_REV,1,1,1,2,50,5min
EMA_12_28__AND__RSI_10_70_30_REV,2,2,1,4,50,5min
EMA_15_35__AND__EMA_21_49,4,4,1,8,50,5min
EMA_15_35__AND__EMA_30_70,1,1,1,2,50,5min
EMA_18_42__AND__RSI_5_70_30_REV,2,2,1,4,50,5min
EMA_18_42__AND__RSI_10_70_30_REV,2,2,1,4,50,5min
EMA_21_49__AND__EMA_24_56,2,2,1,4,50,5min
EMA_21_49__AND__EMA_27_63,2,2,1,4,50,5min
EMA_21_49__AND__EMA_30_70,1,1,1,2,50,5min
EMA_24_56__AND__ADX_14,2,2,1,4,50,5min
EMA_24_56__AND__ADX_20,2,2,1,4,50,5min
EMA_24_56__AND__RSI_10_70_30_REV,2,2,1,4,50,5min
EMA_27_63__AND__EMA_30_70,1,1,1,2,50,5min
MACD_4_8_3,11,12,1,23,47.83,5min
EMA_5_13,11,13,1,24,45.83,5min
MACD_4_8_3__AND__MACD_16_32_12,4,5,0,9,44.44,5min
MACD_8_16_6__AND__EMA_15_35,4,5,1,9,44.44,5min
MACD_12_26_9__AND__EMA_9_21,4,5,1,9,44.44,5min
MACD_12_26_9__AND__EMA_15_35,4,5,1,9,44.44,5min
EMA_15_35,6,8,1,14,42.86,5min
MACD_20_40_15__AND__EMA_15_35,3,4,1,7,42.86,5min
EMA_5_13__AND__EMA_21_49,3,4,1,7,42.86,5min
MACD_8_16_6__AND__EMA_12_28,5,7,1,12,41.67,5min
MACD_4_8_3__AND__EMA_5_13,6,9,1,15,40,5min
MACD_8_16_6__AND__MACD_16_32_12,4,6,1,10,40,5min
MACD_8_16_6__AND__EMA_24_56,2,3,1,5,40,5min
MACD_12_24_9__AND__EMA_15_35,4,6,1,10,40,5min
MACD_12_24_9__AND__EMA_24_56,2,3,1,5,40,5min
MACD_12_26_9__AND__EMA_24_56,2,3,1,5,40,5min
MACD_16_32_12__AND__Bollinger_10_1.5,2,3,0,5,40,5min
MACD_20_40_15__AND__EMA_12_28,2,3,1,5,40,5min
Bollinger_15_1__AND__EMA_24_56,2,3,1,5,40,5min
Bollinger_30_1.5__AND__EMA_12_28,2,3,1,5,40,5min
EMA_12_28__AND__EMA_21_49,2,3,1,5,40,5min
EMA_15_35__AND__RSI_10_70_30_REV,2,3,1,5,40,5min
EMA_5_13__AND__EMA_12_28,5,8,1,13,38.46,5min
MACD_16_32_12__AND__Bollinger_20_1,3,5,1,8,37.5,5min
MACD_16_32_12__AND__Bollinger_20_1.5,3,5,1,8,37.5,5min
EMA_12_28__AND__EMA_15_35,3,5,1,8,37.5,5min
EMA_15_35__AND__ADX_20,3,5,1,8,37.5,5min
Bollinger_5_1,7,12,1,19,36.84,5min
MACD_4_8_3__AND__EMA_9_21,4,7,1,11,36.36,5min
MACD_12_26_9__AND__EMA_5_13,4,7,1,11,36.36,5min
MACD_12_26_9,5,9,1,14,35.71,5min
MACD_4_8_3__AND__MACD_8_16_6,6,11,0,17,35.29,5min
MACD_4_8_3__AND__Bollinger_5_1,6,11,1,17,35.29,5min
MACD_20_40_15,3,6,1,9,33.33,5min
Bollinger_5_1.5,3,6,1,9,33.33,5min
EMA_27_63,2,4,1,6,33.33,5min
RSI_10_70_30_REV,3,6,1,9,33.33,5min
MACD_4_8_3__AND__EMA_15_35,3,6,0,9,33.33,5min
MACD_8_16_6__AND__EMA_18_42,2,4,1,6,33.33,5min
MACD_8_16_6__AND__EMA_21_49,2,4,1,6,33.33,5min
MACD_12_24_9__AND__Bollinger_20_1.5,3,6,1,9,33.33,5min
MACD_12_24_9__AND__EMA_5_13,4,8,1,12,33.33,5min
MACD_12_24_9__AND__EMA_18_42,2,4,1,6,33.33,5min
MACD_12_24_9__AND__EMA_21_49,2,4,1,6,33.33,5min
MACD_12_26_9__AND__Bollinger_5_1.5,1,2,0,3,33.33,5min
MACD_12_26_9__AND__Bollinger_20_1.5,3,6,1,9,33.33,5min
MACD_12_26_9__AND__EMA_18_42,2,4,1,6,33.33,5min
MACD_12_26_9__AND__EMA_21_49,2,4,1,6,33.33,5min
MACD_16_32_12__AND__MACD_20_40_15,3,6,1,9,33.33,5min
MACD_16_32_12__AND__Bollinger_5_1.5,1,2,0,3,33.33,5min
MACD_16_32_12__AND__Bollinger_15_1,3,6,1,9,33.33,5min
MACD_16_32_12__AND__Bollinger_15_1.5,2,4,0,6,33.33,5min
MACD_16_32_12__AND__EMA_9_21,2,4,1,6,33.33,5min
MACD_16_32_12__AND__EMA_21_49,2,4,1,6,33.33,5min
MACD_20_40_15__AND__EMA_18_42,1,2,1,3,33.33,5min
MACD_24_48_18__AND__EMA_5_13,1,2,1,3,33.33,5min
Bollinger_5_1__AND__Bollinger_5_1.5,3,6,1,9,33.33,5min
Bollinger_5_1__AND__EMA_15_35,2,4,0,6,33.33,5min
Bollinger_5_1__AND__EMA_21_49,1,2,0,3,33.33,5min
Bollinger_5_1.5__AND__Bollinger_15_1,2,4,0,6,33.33,5min
Bollinger_5_1.5__AND__EMA_15_35,1,2,0,3,33.33,5min
Bollinger_10_1__AND__EMA_9_21,2,4,0,6,33.33,5min
Bollinger_10_1__AND__EMA_21_49,2,4,1,6,33.33,5min
Bollinger_10_1.5__AND__EMA_18_42,1,2,0,3,33.33,5min
Bollinger_10_1.5__AND__EMA_21_49,1,2,0,3,33.33,5min
Bollinger_10_2__AND__EMA_9_21,1,2,0,3,33.33,5min
Bollinger_15_1__AND__EMA_9_21,3,6,1,9,33.33,5min
Bollinger_15_1.5__AND__EMA_12_28,1,2,0,3,33.33,5min
Bollinger_20_1__AND__EMA_9_21,2,4,1,6,33.33,5min
Bollinger_20_1.5__AND__EMA_12_28,2,4,1,6,33.33,5min
Bollinger_20_2__AND__EMA_12_28,1,2,0,3,33.33,5min
Bollinger_25_1__AND__EMA_9_21,2,4,1,6,33.33,5min
Bollinger_25_1.5__AND__EMA_12_28,2,4,1,6,33.33,5min
Bollinger_25_1.5__AND__EMA_18_42,1,2,1,3,33.33,5min
Bollinger_30_1.5__AND__EMA_9_21,1,2,1,3,33.33,5min
Bollinger_30_1.5__AND__EMA_18_42,1,2,1,3,33.33,5min
EMA_5_13__AND__EMA_15_35,3,6,1,9,33.33,5min
EMA_5_13__AND__RSI_10_70_30_REV,2,4,1,6,33.33,5min
EMA_12_28__AND__EMA_27_63,1,2,1,3,33.33,5min
EMA_15_35__AND__EMA_27_63,1,2,1,3,33.33,5min
EMA_18_42__AND__RSI_14_70_30_REV,1,2,1,3,33.33,5min
EMA_21_49__AND__RSI_5_70_30_REV,2,4,1,6,33.33,5min
EMA_24_56__AND__EMA_27_63,1,2,1,3,33.33,5min
EMA_24_56__AND__RSI_5_80_20_REV,1,2,1,3,33.33,5min
EMA_24_56__AND__RSI_14_70_30_REV,1,2,1,3,33.33,5min
EMA_27_63__AND__RSI_10_70_30_REV,1,2,1,3,33.33,5min
RSI_5_90_10_REV__AND__RSI_10_80_20_REV,1,2,1,3,33.33,5min
MACD_4_8_3__AND__Bollinger_20_1,4,9,0,13,30.77,5min
EMA_5_13__AND__EMA_9_21,4,9,0,13,30.77,5min
EMA_21_49,3,7,1,10,30,5min
MACD_4_8_3__AND__Bollinger_20_1.5,3,7,0,10,30,5min
MACD_12_24_9__AND__Bollinger_20_1,3,7,1,10,30,5min
MACD_12_26_9__AND__Bollinger_20_1,3,7,1,10,30,5min
EMA_15_35__AND__ADX_14,3,7,1,10,30,5min
RSI_5_70_30_REV,5,12,1,17,29.41,5min
Bollinger_20_1,4,10,1,14,28.57,5min
MACD_4_8_3__AND__MACD_20_40_15,2,5,0,7,28.57,5min
MACD_4_8_3__AND__RSI_10_70_30_REV,2,5,0,7,28.57,5min
MACD_8_16_6__AND__EMA_5_13,4,10,1,14,28.57,5min
MACD_8_16_6__AND__RSI_10_70_30_REV,2,5,1,7,28.57,5min
MACD_12_24_9__AND__MACD_12_26_9,4,10,1,14,28.57,5min
MACD_12_24_9__AND__Bollinger_15_1.5,2,5,0,7,28.57,5min
MACD_12_24_9__AND__EMA_12_28,2,5,1,7,28.57,5min
MACD_12_24_9__AND__RSI_10_70_30_REV,2,5,1,7,28.57,5min
MACD_12_26_9__AND__Bollinger_15_1.5,2,5,0,7,28.57,5min
MACD_12_26_9__AND__EMA_12_28,2,5,1,7,28.57,5min
MACD_12_26_9__AND__RSI_10_70_30_REV,2,5,1,7,28.57,5min
MACD_16_32_12__AND__RSI_10_70_30_REV,2,5,1,7,28.57,5min
MACD_20_40_15__AND__EMA_5_13,2,5,1,7,28.57,5min
Bollinger_5_1.5__AND__Bollinger_10_1,2,5,0,7,28.57,5min
Bollinger_5_1.5__AND__RSI_5_70_30_REV,2,5,0,7,28.57,5min
Bollinger_15_1__AND__Bollinger_20_1,4,10,1,14,28.57,5min
Bollinger_20_1__AND__EMA_12_28,2,5,1,7,28.57,5min
Bollinger_20_1.5__AND__EMA_5_13,2,5,1,7,28.57,5min
Bollinger_30_1__AND__EMA_12_28,2,5,1,7,28.57,5min
EMA_5_13__AND__ADX_20,2,5,1,7,28.57,5min
Bollinger_10_1,5,13,1,18,27.78,5min
Bollinger_20_1.5,3,8,1,11,27.27,5min
MACD_8_16_6__AND__Bollinger_20_1.5,3,8,1,11,27.27,5min
MACD_12_24_9__AND__MACD_16_32_12,3,8,1,11,27.27,5min
MACD_12_24_9__AND__Bollinger_15_1,3,8,1,11,27.27,5min
MACD_12_26_9__AND__MACD_16_32_12,3,8,1,11,27.27,5min
MACD_12_26_9__AND__Bollinger_15_1,3,8,1,11,27.27,5min
Bollinger_15_1__AND__Bollinger_20_1.5,3,8,1,11,27.27,5min
Bollinger_20_1__AND__Bollinger_20_1.5,3,8,1,11,27.27,5min
MACD_4_8_3__AND__RSI_5_70_30_REV,4,11,0,15,26.67,5min
Bollinger_5_1__AND__RSI_5_70_30_REV,4,11,0,15,26.67,5min
Bollinger_10_1__AND__RSI_5_70_30_REV,4,11,1,15,26.67,5min
MACD_8_16_6,5,14,1,19,26.32,5min
Bollinger_15_1,4,12,1,16,25,5min
MACD_4_8_3__AND__MACD_12_26_9,3,9,0,12,25,5min
MACD_4_8_3__AND__Bollinger_5_1.5,2,6,1,8,25,5min
MACD_4_8_3__AND__Bollinger_15_1,4,12,0,16,25,5min
MACD_4_8_3__AND__Bollinger_25_1,3,9,0,12,25,5min
MACD_4_8_3__AND__RSI_14_70_30_REV,2,6,0,8,25,5min
MACD_8_16_6__AND__MACD_12_26_9,3,9,1,12,25,5min
MACD_8_16_6__AND__MACD_20_40_15,2,6,1,8,25,5min
MACD_8_16_6__AND__Bollinger_5_1,3,9,0,12,25,5min
MACD_12_24_9__AND__MACD_20_40_15,2,6,1,8,25,5min
MACD_12_24_9__AND__Bollinger_5_1.5,1,3,0,4,25,5min
MACD_12_24_9__AND__Bollinger_10_1.5,2,6,0,8,25,5min
MACD_12_26_9__AND__MACD_20_40_15,2,6,1,8,25,5min
MACD_12_26_9__AND__Bollinger_10_1.5,2,6,0,8,25,5min
MACD_16_32_12__AND__Bollinger_10_2,1,3,0,4,25,5min
MACD_16_32_12__AND__Bollinger_25_1.5,2,6,1,8,25,5min
MACD_16_32_12__AND__Bollinger_30_1.5,2,6,1,8,25,5min
MACD_16_32_12__AND__EMA_27_63,1,3,1,4,25,5min
MACD_20_40_15__AND__Bollinger_15_1,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_20_1,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_20_1.5,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_25_1,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_25_1.5,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_30_1,2,6,1,8,25,5min
MACD_20_40_15__AND__Bollinger_30_1.5,2,6,1,8,25,5min
MACD_20_40_15__AND__EMA_9_21,1,3,1,4,25,5min
MACD_20_40_15__AND__EMA_27_63,1,3,1,4,25,5min
MACD_24_48_18__AND__EMA_15_35,1,3,1,4,25,5min
MACD_24_48_18__AND__EMA_21_49,1,3,1,4,25,5min
MACD_24_48_18__AND__EMA_27_63,1,3,1,4,25,5min
Bollinger_5_1__AND__RSI_10_80_20_REV,1,3,0,4,25,5min
Bollinger_5_1.5__AND__Bollinger_10_2,1,3,0,4,25,5min
Bollinger_5_1.5__AND__Bollinger_15_1.5,1,3,0,4,25,5min
Bollinger_5_1.5__AND__Bollinger_20_1,1,3,0,4,25,5min
Bollinger_5_1.5__AND__Bollinger_25_1,1,3,0,4,25,5min
Bollinger_10_1__AND__Bollinger_20_1,3,9,1,12,25,5min
Bollinger_10_1__AND__EMA_15_35,2,6,1,8,25,5min
Bollinger_10_1__AND__EMA_24_56,1,3,1,4,25,5min
Bollinger_10_1__AND__RSI_10_70_30_REV,2,6,1,8,25,5min
Bollinger_10_1.5__AND__Bollinger_15_1.5,2,6,0,8,25,5min
Bollinger_10_1.5__AND__EMA_15_35,1,3,0,4,25,5min
Bollinger_10_1.5__AND__EMA_24_56,1,3,0,4,25,5min
Bollinger_15_1__AND__EMA_12_28,2,6,1,8,25,5min
Bollinger_15_1.5__AND__EMA_21_49,1,3,0,4,25,5min
Bollinger_20_1.5__AND__EMA_9_21,1,3,0,4,25,5min
Bollinger_20_2__AND__EMA_15_35,1,3,0,4,25,5min
Bollinger_25_1__AND__EMA_12_28,2,6,1,8,25,5min
Bollinger_25_1__AND__EMA_18_42,1,3,1,4,25,5min
Bollinger_30_1__AND__EMA_18_42,1,3,1,4,25,5min
EMA_12_28__AND__RSI_14_70_30_REV,1,3,1,4,25,5min
EMA_15_35__AND__RSI_5_70_30_REV,2,6,1,8,25,5min
EMA_18_42__AND__EMA_21_49,1,3,1,4,25,5min
EMA_24_56__AND__RSI_5_70_30_REV,1,3,1,4,25,5min
ADX_14__AND__RSI_10_70_30_REV,1,3,1,4,25,5min
ADX_20__AND__RSI_10_70_30_REV,1,3,1,4,25,5min
RSI_5_70_30_REV__AND__RSI_10_70_30_REV,2,6,1,8,25,5min
RSI_5_90_10_REV__AND__RSI_10_70_30_REV,1,3,1,4,25,5min
MACD_4_8_3__AND__Bollinger_10_1,4,13,0,17,23.53,5min
Bollinger_25_1,3,10,1,13,23.08,5min
MACD_4_8_3__AND__MACD_12_24_9,3,10,0,13,23.08,5min
MACD_8_16_6__AND__MACD_12_24_9,3,10,1,13,23.08,5min
MACD_8_16_6__AND__Bollinger_20_1,3,10,1,13,23.08,5min
Bollinger_15_1__AND__Bollinger_25_1,3,10,1,13,23.08,5min
Bollinger_20_1__AND__Bollinger_25_1,3,10,1,13,23.08,5min
MACD_4_8_3__AND__Bollinger_30_1.5,2,7,0,9,22.22,5min
MACD_12_24_9__AND__EMA_9_21,2,7,1,9,22.22,5min
MACD_16_32_12__AND__Bollinger_10_1,2,7,1,9,22.22,5min
