feature,avg_importance,rank
stddev,0.224327,1
EMA_30_70__AND__RSI_5_70_30_REV,0.171107,2
MACD_8_16_6__AND__ADX_20,0.165415,3
Bollinger_5_1.5__AND__EMA_5_13,0.162874,4
range,0.160594,5
Bollinger_5_1__AND__ADX_20,0.15864,6
Bollinger_5_1,0.157525,7
EMA_9_21__AND__ADX_20,0.14266,8
Bollinger_5_1.5__AND__EMA_18_42,0.140288,9
MACD_16_32_12__AND__Bollinger_5_1.5,0.130313,10
MACD_4_8_3__AND__Bollinger_10_1,0.129358,11
Bollinger_5_1__AND__EMA_27_63,0.128629,12
Bollinger_5_1__AND__EMA_21_49,0.127234,13
Bollinger_5_1.5__AND__RSI_5_90_10_REV,0.125902,14
MACD_24_48_18__AND__ADX_14,0.120358,15
Bollinger_5_1__AND__EMA_30_70,0.117802,16
diff,0.117678,17
EMA_30_70__AND__ADX_20,0.115562,18
Bollinger_25_1__AND__EMA_5_13,0.115213,19
Bollinger_25_1__AND__EMA_27_63,0.114941,20
Bollinger_5_1__AND__Bollinger_5_1.5,0.113692,21
Bollinger_5_1.5,0.113095,22
EMA_18_42__AND__EMA_30_70,0.112883,23
MACD_4_8_3,0.11064,24
MACD_4_8_3__AND__Bollinger_5_1.5,0.108689,25
Bollinger_15_1__AND__EMA_18_42,0.108006,26
Bollinger_10_1__AND__EMA_30_70,0.107431,27
EMA_30_70__AND__ADX_14,0.104124,28
EMA_12_28__AND__EMA_27_63,0.102637,29
Bollinger_10_1__AND__RSI_5_90_10_REV,0.101451,30
EMA_24_56__AND__ADX_14,0.100804,31
ADX_14__AND__ADX_20,0.099721,32
MACD_20_40_15__AND__Bollinger_10_1,0.099398,33
R1,0.098572,34
EMA_5_13__AND__ADX_20,0.098276,35
MACD_24_48_18__AND__Bollinger_5_1,0.096704,36
RSI_5_70_30_REV__AND__RSI_5_80_20_REV,0.096472,37
Bollinger_10_1__AND__EMA_15_35,0.095953,38
RSI_5_80_20_REV,0.095873,39
Bollinger_30_1.5__AND__ADX_20,0.09494,40
Bollinger_5_1__AND__EMA_5_13,0.094817,41
EMA_15_35__AND__RSI_10_70_30_REV,0.094573,42
RSI_25_70_30__AND__MACD_4_8_3,0.09417,43
EMA_9_21__AND__RSI_5_80_20_REV,0.094092,44
EMA_12_28__AND__EMA_30_70,0.093474,45
Bollinger_5_1.5__AND__Bollinger_10_1,0.093096,46
EMA_9_21__AND__RSI_5_70_30_REV,0.092758,47
MACD_12_24_9__AND__RSI_5_70_30_REV,0.092676,48
rate_of_change,0.09167,49
Bollinger_25_1__AND__EMA_15_35,0.090991,50
