feature,avg_importance,rank
range,0.463428,1
RSI_10_70_30__AND__MACD_4_8_3,0.162384,2
R2,0.149316,3
Bollinger_10_1.5__AND__EMA_5_13,0.120953,4
R1,0.120708,5
MACD_4_8_3,0.11279,6
MACD_4_8_3__AND__Bollinger_5_1,0.098904,7
Bollinger_5_1__AND__Bollinger_5_1.5,0.0974,8
Bollinger_5_1.5,0.096927,9
S2,0.096395,10
EMA_30_70__AND__RSI_10_70_30_REV,0.096065,11
stddev,0.095571,12
EMA_5_13__AND__RSI_5_70_30_REV,0.093669,13
MACD_4_8_3__AND__Bollinger_5_1.5,0.091658,14
EMA_21_49__AND__RSI_10_70_30_REV,0.089088,15
Bollinger_5_1.5__AND__EMA_5_13,0.086084,16
RSI_10_70_30,0.085818,17
EMA_9_21__AND__RSI_10_70_30_REV,0.084611,18
MACD_8_16_6__AND__ADX_14,0.082684,19
MACD_8_16_6__AND__ADX_20,0.08123,20
EMA_5_13__AND__RSI_10_70_30_REV,0.08045,21
Bollinger_10_1__AND__EMA_5_13,0.079469,22
EMA_12_28__AND__RSI_10_70_30_REV,0.07895,23
EMA_5_13__AND__RSI_10_80_20_REV,0.077498,24
Bollinger_5_1,0.076533,25
EMA_24_56__AND__ADX_14,0.074204,26
EMA_5_13,0.072234,27
Bollinger_10_1__AND__EMA_24_56,0.071076,28
MACD_8_16_6__AND__Bollinger_5_1,0.07075,29
MACD_4_8_3__AND__EMA_24_56,0.069131,30
MACD_4_8_3__AND__EMA_5_13,0.068609,31
RSI_10_80_20__AND__MACD_4_8_3,0.064328,32
Bollinger_5_1.5__AND__ADX_14,0.06403,33
RSI_5_70_30__AND__MACD_16_32_12,0.062944,34
RSI_10_70_30_REV,0.061618,35
EMA_12_28__AND__ADX_20,0.06055,36
Bollinger_5_1__AND__EMA_27_63,0.059192,37
MACD_8_16_6__AND__EMA_27_63,0.056225,38
RSI_25_70_30__AND__RSI_5_70_30_REV,0.054939,39
MACD_8_16_6__AND__EMA_30_70,0.054122,40
Bollinger_5_1__AND__EMA_15_35,0.052997,41
EMA_5_13__AND__ADX_20,0.051476,42
S1,0.051139,43
EMA_27_63__AND__ADX_14,0.050151,44
RSI_5_70_30__AND__MACD_20_40_15,0.049737,45
RSI_14_70_30__AND__MACD_4_8_3,0.049182,46
MACD_4_8_3__AND__ADX_20,0.048749,47
Bollinger_5_1.5__AND__RSI_10_80_20_REV,0.048668,48
RSI_15_70_30__AND__MACD_4_8_3,0.048649,49
Bollinger_5_1__AND__EMA_18_42,0.048053,50
