model,cv_mean,cv_std,test_accuracy
GradientBoosting,0.9542,0.0316,0.9619
RandomForest,0.9497,0.0128,0.9619
SVM,0.9377,0.0112,0.9429
DecisionTree,0.9257,0.0494,0.9429
LogisticRegression,0.9207,0.0221,0.9429
