feature,avg_importance,rank
Bollinger_5_1,0.221854,1
EMA_15_35__AND__RSI_5_70_30_REV,0.20674,2
EMA_21_49__AND__ADX_20,0.200415,3
Bollinger_5_1__AND__EMA_9_21,0.183896,4
Bollinger_5_1.5__AND__EMA_9_21,0.180878,5
EMA_5_13__AND__RSI_5_70_30_REV,0.173577,6
EMA_24_56__AND__RSI_5_70_30_REV,0.164112,7
Bollinger_10_1__AND__EMA_30_70,0.154389,8
EMA_27_63__AND__RSI_5_70_30_REV,0.153692,9
Bollinger_10_1__AND__RSI_5_70_30_REV,0.143461,10
EMA_9_21__AND__ADX_14,0.141842,11
Bollinger_5_1__AND__EMA_15_35,0.139724,12
MACD_4_8_3__AND__ADX_20,0.139036,13
RSI_10_70_30_REV,0.13353,14
EMA_5_13__AND__ADX_14,0.132658,15
stddev,0.129552,16
RSI_5_70_30_REV,0.127015,17
Bollinger_20_1__AND__EMA_21_49,0.127014,18
EMA_15_35__AND__ADX_14,0.126181,19
MACD_12_24_9__AND__RSI_5_70_30_REV,0.124709,20
Bollinger_25_1__AND__EMA_5_13,0.124347,21
Bollinger_30_1.5__AND__ADX_20,0.12426,22
MACD_12_26_9__AND__ADX_20,0.122874,23
MACD_12_26_9,0.119368,24
EMA_15_35__AND__ADX_20,0.119142,25
MACD_4_8_3__AND__ADX_14,0.117139,26
EMA_24_56__AND__RSI_14_70_30_REV,0.115539,27
MACD_20_40_15__AND__Bollinger_5_1,0.115384,28
RSI_5_70_30__AND__EMA_5_13,0.115241,29
RSI_5_80_20,0.112901,30
RSI_5_70_30__AND__RSI_5_80_20,0.112848,31
EMA_18_42__AND__EMA_30_70,0.111879,32
MACD_24_48_18__AND__ADX_20,0.111617,33
Bollinger_5_1.5__AND__EMA_21_49,0.11155,34
diff,0.110926,35
Bollinger_15_1__AND__ADX_20,0.110863,36
MACD_4_8_3__AND__Bollinger_25_1,0.109916,37
EMA_15_35__AND__Stoch_14_5,0.109745,38
Bollinger_5_1.5__AND__RSI_5_90_10_REV,0.107086,39
MACD_4_8_3__AND__Bollinger_15_1,0.105884,40
Bollinger_10_1__AND__EMA_21_49,0.102226,41
EMA_18_42__AND__RSI_5_80_20_REV,0.101946,42
Bollinger_5_1__AND__Bollinger_30_1,0.100679,43
Bollinger_5_1__AND__ADX_20,0.10034,44
Bollinger_30_1.5__AND__EMA_27_63,0.100162,45
Bollinger_20_2__AND__EMA_24_56,0.099884,46
MACD_16_32_12__AND__Bollinger_5_1.5,0.099297,47
Bollinger_5_1.5__AND__EMA_27_63,0.098488,48
MACD_12_24_9__AND__ADX_20,0.098317,49
Bollinger_5_1.5__AND__EMA_12_28,0.09688,50
