interval,best_model,best_cv_accuracy,top_3_features
1min,GradientBoosting,0.7599,"Bollinger_5_1__AND__ADX_20, EMA_30_70__AND__ADX_14, diff"
5min,RandomForest,0.76,"RSI_14_70_30__AND__RSI_20_70_30, Bollinger_5_1.5__AND__RSI_5_90_10_REV, stddev"
10min,LogisticRegression,0.7333,"Bollinger_5_1, EMA_12_28, RSI_5_70_30_REV"
15min,DecisionTree,0.8333,"RSI_5_70_30_REV__AND__RSI_5_80_20_REV, RSI_5_80_20_REV, Bollinger_20_2__AND__RSI_10_70_30_REV"
20min,N/A,0.0,insufficient data
30min,N/A,0.0,insufficient data
