model,cv_mean,cv_std,test_accuracy
GradientBoosting,0.7841,0.0413,0.781
RandomForest,0.7697,0.0617,0.7714
SVM,0.6882,0.0406,0.6857
DecisionTree,0.6836,0.0372,0.7619
LogisticRegression,0.6305,0.0812,0.6762
