feature,avg_importance,rank
Bollinger_5_1,0.233688,1
stddev,0.201412,2
RSI_5_70_30_REV,0.196947,3
MACD_12_24_9__AND__RSI_5_70_30_REV,0.193538,4
Bollinger_5_1.5__AND__EMA_18_42,0.185038,5
EMA_9_21__AND__ADX_20,0.171061,6
Bollinger_5_1__AND__ADX_20,0.15577,7
EMA_21_49__AND__ADX_14,0.153445,8
EMA_18_42__AND__ADX_20,0.1363,9
EMA_5_13__AND__ADX_20,0.134981,10
range,0.130685,11
Bollinger_5_1__AND__EMA_30_70,0.129319,12
EMA_27_63__AND__RSI_5_70_30_REV,0.126033,13
EMA_15_35__AND__RSI_5_70_30_REV,0.125436,14
Bollinger_30_1__AND__EMA_12_28,0.125097,15
Bollinger_10_1__AND__EMA_15_35,0.120944,16
mad,0.120492,17
Bollinger_5_1.5__AND__Bollinger_10_1,0.119023,18
Bollinger_15_1__AND__EMA_9_21,0.117042,19
Bollinger_10_1__AND__EMA_21_49,0.114893,20
EMA_30_70__AND__ADX_14,0.113521,21
ADX_20__AND__RSI_5_70_30_REV,0.110521,22
MACD_24_48_18__AND__Bollinger_30_1,0.110277,23
RSI_10_70_30_REV,0.108888,24
Bollinger_5_1__AND__Bollinger_5_1.5,0.108264,25
Bollinger_30_1.5__AND__ADX_20,0.108168,26
Bollinger_5_1.5,0.107806,27
EMA_27_63__AND__RSI_5_80_20_REV,0.107465,28
Bollinger_25_1__AND__EMA_24_56,0.104593,29
Bollinger_30_1__AND__EMA_15_35,0.103666,30
EMA_12_28__AND__EMA_30_70,0.100269,31
Bollinger_5_1.5__AND__RSI_5_90_10_REV,0.100208,32
Bollinger_10_1__AND__EMA_30_70,0.100116,33
R1,0.099139,34
Bollinger_5_1__AND__EMA_21_49,0.099111,35
EMA_18_42__AND__Stoch_14_5,0.098829,36
MACD_4_8_3,0.097916,37
MACD_24_48_18__AND__ADX_14,0.097632,38
Bollinger_20_1__AND__EMA_9_21,0.097003,39
MACD_20_40_15__AND__Bollinger_15_1,0.09276,40
EMA_27_63__AND__ADX_14,0.091446,41
MACD_4_8_3__AND__Bollinger_10_1,0.091042,42
EMA_9_21__AND__EMA_12_28,0.090568,43
EMA_12_28,0.089828,44
MACD_4_8_3__AND__RSI_5_80_20_REV,0.089773,45
MACD_8_16_6__AND__Bollinger_5_1,0.08826,46
MACD_16_32_12__AND__Bollinger_5_1.5,0.087936,47
Bollinger_10_1__AND__EMA_27_63,0.086775,48
Bollinger_30_1__AND__ADX_20,0.086226,49
EMA_12_28__AND__EMA_27_63,0.085877,50
