feature,avg_importance,rank
EMA_15_35__AND__RSI_5_70_30_REV,0.2832,1
Bollinger_5_1__AND__EMA_9_21,0.263972,2
MACD_8_16_6__AND__ADX_14,0.220778,3
Bollinger_5_1,0.215224,4
stddev,0.204636,5
EMA_12_28__AND__ADX_20,0.17629,6
RSI_5_70_30,0.173666,7
Bollinger_5_1__AND__ADX_20,0.172632,8
EMA_18_42__AND__RSI_5_70_30_REV,0.1716,9
range,0.170942,10
EMA_5_13__AND__RSI_5_70_30_REV,0.166008,11
Bollinger_5_1.5__AND__EMA_24_56,0.161287,12
Bollinger_5_1__AND__EMA_15_35,0.160128,13
MACD_16_32_12__AND__ADX_20,0.159379,14
Bollinger_15_1__AND__ADX_20,0.153899,15
MACD_20_40_15__AND__ADX_20,0.134414,16
Bollinger_5_1.5__AND__ADX_14,0.132654,17
Bollinger_10_1__AND__EMA_27_63,0.129076,18
MACD_20_40_15__AND__Stoch_14_3,0.128815,19
EMA_24_56__AND__RSI_5_70_30_REV,0.127904,20
Bollinger_5_1__AND__EMA_18_42,0.125061,21
Bollinger_5_1.5__AND__EMA_27_63,0.124646,22
MACD_16_32_12__AND__ADX_14,0.123663,23
EMA_9_21__AND__ADX_20,0.122844,24
EMA_24_56__AND__EMA_30_70,0.119372,25
EMA_12_28__AND__RSI_15_70_30_REV,0.109192,26
MACD_12_24_9__AND__RSI_5_70_30_REV,0.10909,27
EMA_30_70__AND__RSI_5_70_30_REV,0.107754,28
Bollinger_5_1.5__AND__EMA_5_13,0.106578,29
EMA_15_35__AND__ADX_14,0.106079,30
RSI_10_80_20__AND__MACD_4_8_3,0.104346,31
EMA_9_21__AND__ADX_14,0.10418,32
MACD_8_16_6__AND__Bollinger_5_1,0.101944,33
EMA_15_35__AND__Stoch_14_5,0.100396,34
RSI_10_70_30_REV,0.100326,35
Bollinger_10_1__AND__EMA_21_49,0.099847,36
Bollinger_20_1__AND__EMA_30_70,0.099671,37
Bollinger_30_1__AND__EMA_27_63,0.099547,38
EMA_9_21__AND__RSI_5_70_30_REV,0.099228,39
MACD_24_48_18__AND__Bollinger_5_1,0.0982,40
EMA_21_49__AND__ADX_20,0.09746,41
MACD_4_8_3__AND__Bollinger_25_1,0.097431,42
Bollinger_10_1__AND__EMA_12_28,0.095894,43
Bollinger_30_1.5__AND__ADX_20,0.095787,44
MACD_16_32_12__AND__Bollinger_10_1,0.095581,45
RSI_5_70_30__AND__EMA_5_13,0.095558,46
EMA_21_49__AND__RSI_5_80_20_REV,0.094386,47
EMA_5_13__AND__ADX_14,0.093287,48
EMA_27_63__AND__RSI_10_70_30_REV,0.091088,49
RSI_10_70_30__AND__MACD_4_8_3,0.090358,50
