interval,best_model,best_cv_accuracy,top_3_features
1min,LogisticRegression,0.6187,"EMA_15_35__AND__RSI_5_70_30_REV, Bollinger_5_1__AND__EMA_9_21, MACD_16_32_12__AND__ADX_20"
5min,SVM,0.8951,"S2, EMA_5_13__AND__RSI_15_70_30_REV, RSI_15_70_30_REV"
10min,LogisticRegression,0.8867,"diff, RSI_14_70_30_REV, RSI_5_70_30_REV"
15min,RandomForest,0.8778,"MACD_4_8_3__AND__Bollinger_20_2, Bollinger_20_2__AND__RSI_10_70_30_REV, Bollinger_15_1__AND__Bollinger_20_2"
20min,N/A,0.0,insufficient data
30min,N/A,0.0,insufficient data
